manufacturer,model,search_code,start_year,end_year,variant,code,image_path
BMW,1600/2002,1600/2002,,,,, 
BMW,i4 GRAN COUPE,i4GRANCOUPE,2024,,,, 
BMW,i5,i5,2023,,G60E,, 
BMW,iX2,iX2,2023,,U10E,, 
BMW,SERIES 1,SERIES1,2004,2011,E81/87 3/5D,, 
BMW,SERIES 1,SERIES1,2007,2013,E82/88 COUPE/CABRIO,, 
BMW,SERIES 1,SERIES1,2011,2015,F21/20 3/5D,, 
BMW,SERIES 1,SERIES1,2015,,F21/20 3/5D,, 
BMW,SERIES 1,SERIES1,2019,,F40,, 
BMW,SERIES 1,SERIES1,2024,,F70,, 
BMW,SERIES 2,SERIES2,2014,,F22/23 COUPE/CABRIO,, 
BMW,SERIES 2,SERIES2,2019,,F44 GRAN COUPE,, 
BMW,SERIES 2,SERIES2,2017,,F45/F46 ACTIVE/GRAN TOURER,, 
BMW,SERIES 2,SERIES2,2014,,F45/F46 TOURER,, 
BMW,SERIES 2,SERIES2,2021,,G42 COUPE,, 
BMW,SERIES 2,SERIES2,2021,,U11 ACTIVE TOURER,, 
BMW,SERIES 3,SERIES3,1975,1982,E21,, 
BMW,SERIES 3,SERIES3,1983,1987,E30,, 
BMW,SERIES 3,SERIES3,1994,1998,E36 COMPACT,, 
BMW,SERIES 3,SERIES3,1990,1998,E36 COUPE/CABRIO,, 
BMW,SERIES 3,SERIES3,1990,1998,E36 SDN,, 
BMW,SERIES 3,SERIES3,2001,2005,E46 COMPACT,, 
BMW,SERIES 3,SERIES3,2003,2006,E46 COUPE/CABRIO,, 
BMW,SERIES 3,SERIES3,1999,2003,E46 COUPE/CABRIO,, 
BMW,SERIES 3,SERIES3,2002,2005,E46 SDN,, 
BMW,SERIES 3,SERIES3,1999,2002,E46 SDN,, 
BMW,SERIES 3,SERIES3,2005,2008,E90/91 SDN,, 
BMW,SERIES 3,SERIES3,2008,2012,E90/91 SDN,, 
BMW,SERIES 3,SERIES3,2007,2011,E92/93 COUPE/CABRIO,, 
BMW,SERIES 3,SERIES3,2011,2013,E92/93 COUPE/CABRIO,, 
BMW,SERIES 3,SERIES3,2012,2014,F30/F31 SDN/S.W.,, 
BMW,SERIES 3,SERIES3,2014,,F30/F31 SDN/S.W.,, 
BMW,SERIES 3,SERIES3,2012,,F34 GT,, 
BMW,SERIES 3,SERIES3,2018,,G20 SDN,, 
BMW,SERIES 3,SERIES3,2022,,G20/G21 SDN/S.W.,, 
BMW,SERIES 3,SERIES3,1988,1990,M40,, 
BMW,SERIES 4,SERIES4,,,F32/36/33/ COUPE/GRAN COUPE/CABRIO,, 
BMW,SERIES 4,SERIES4,2020,,G22 COUPE,, 
BMW,SERIES 4,SERIES4,2020,,G23 CABRIO,, 
BMW,SERIES 4,SERIES4,2020,,G26 GRAN COUPE,, 
BMW,SERIES 5,SERIES5,1973,1981,E12,, 
BMW,SERIES 5,SERIES5,1981,1988,E28,, 
BMW,SERIES 5,SERIES5,1988,1995,E34,, 
BMW,SERIES 5,SERIES5,1996,2002,E39,, 
BMW,SERIES 5,SERIES5,2003,2010,E60/61,, 
BMW,SERIES 5,SERIES5,2010,2013,F07 GT,, 
BMW,SERIES 5,SERIES5,2013,2016,F07 GT,, 
BMW,SERIES 5,SERIES5,2010,2013,F10/11,, 
BMW,SERIES 5,SERIES5,2013,2016,F10/11,, 
BMW,SERIES 5,SERIES5,2016,,G30/G31,, 
BMW,SERIES 5,SERIES5,2024,,G60/61,, 
BMW,SERIES 5,SERIES5,2020,,,, 
BMW,SERIES 6,SERIES6,2004,2011,E63/64 COUPE/CABRIO,, 
BMW,SERIES 6,SERIES6,2011,2015,F13/12 COUPE/CABRIO,, 
BMW,SERIES 6,SERIES6,2015,,F13/12 COUPE/CABRIO,, 
BMW,SERIES 6,SERIES6,2017,,G32 GR. TOURISMO,, 
BMW,SERIES 6,SERIES6,2020,,G32 GR. TOURISMO,, 
BMW,SERIES 7,SERIES7,1995,2002,E38,, 
BMW,SERIES 7,SERIES7,2002,2008,E65/66,, 
BMW,SERIES 7,SERIES7,2008,2012,F01/02,, 
BMW,SERIES 7,SERIES7,2012,2015,F01/02,, 
BMW,SERIES 7,SERIES7,2015,,G11/G12,, 
BMW,SERIES 7,SERIES7,2019,,G11/G12,, 
BMW,SERIES 7,SERIES7,2022,,G70,, 
BMW,SERIES 8,SERIES8,2018,,COUPE-GR.COUPE(G15/16)/CABRIO(G14),, 
BMW,SERIES i3,SERIESi3,2017,,I01,, 
BMW,SERIES i3,SERIESi3,2013,,,, 
BMW,SERIES i7,SERIESi7,2022,,G70E,, 
BMW,SERIES i8,SERIESi8,2013,,I12/I15,, 
BMW,SERIES iX,SERIESiX,2021,,I20,, 
BMW,SERIES iX1,SERIESiX1,2022,,U11E,, 
BMW,SERIES iX3,SERIESiX3,2020,,G08,, 
BMW,X1,X1,2009,2013,E84,, 
BMW,X1,X1,2013,2015,E84,, 
BMW,X1,X1,2015,,F48,, 
BMW,X1,X1,2019,,F48,, 
BMW,X1,X1,2022,,U11,, 
BMW,X2,X2,2017,,F39,, 
BMW,X2,X2,2023,,,, 
BMW,X3,X3,2004,2007,E83,, 
BMW,X3,X3,2007,2011,E83,, 
BMW,X3,X3,2011,2014,F25,, 
BMW,X3,X3,2014,2017,F25,, 
BMW,X3,X3,2017,,G01,, 
BMW,X3,X3,2021,,G01,, 
BMW,X4,X4,2014,2018,F26,, 
BMW,X4,X4,2018,,G02,, 
BMW,X4,X4,2022,,G02,, 
BMW,X5,X5,2000,2007,E53,, 
BMW,X5,X5,2007,2010,E70,, 
BMW,X5,X5,2010,2013,E70,, 
BMW,X5,X5,2013,,F15,, 
BMW,X5,X5,2018,,G05,, 
BMW,X5,X5,2023,,G05N,, 
BMW,X6,X6,2008,2014,E71,, 
BMW,X6,X6,2014,,F16,, 
BMW,X6,X6,2019,,G06,, 
BMW,X6,X6,2023,,G06N,, 
BMW,X7,X7,2018,,G07,, 
BMW,X7,X7,2023,,G07,, 
BMW,XM,XM,2022,,,, 
BMW,Z3,Z3,1996,2003,,, 
BMW,Z4,Z4,2003,2009,E85,, 
BMW,Z4,Z4,2009,,E89,, 
BMW,Z4,Z4,2018,,G29,,
