manufacturer,model,search_code,start_year,end_year,variant,code,image_path
CHEVROLET,AVEO,AVEO,2008,2012,H/B-L/B,, 
CHEVROLET,AVEO,AVEO,2012,,SDN-H/B,, 
CHEVROLET,AVEO,AVEO,2005,2008,SDN-H/B-L/B,, 
CHEVROLET,AVEO,AVEO,2007,2012,SEDAN,, 
CHEVROLET,CAPTIVA,CAPTIVA,2007,2012,,, 
CHEVROLET,CAPTIVA,CAPTIVA,2012,,,, 
CHEVROLET,CRUZE,CRUZE,2009,2013,,, 
CHEVROLET,CRUZE,CRUZE,2013,,,, 
CHEVROLET,EPICA,EPICA,2007,,,, 
CHEVROLET,LACETTI,LACETTI,2003,,,, 
CHEVROLET,MATIZ,MATIZ,2005,,,, 
CHEVROLET,ORLANDO,ORLANDO,2011,,,, 
CHEVROLET,SPARK,SPARK,2010,2013,,, 
CHEVROLET,SPARK,SPARK,2013,,,, 
CHEVROLET,TRAX,TRAX,2013,,,,
