manufacturer,model,search_code,start_year,end_year,variant,code,image_path
CITROEN,AX,AX,1987,1991,,, 
CITROEN,AX,AX,1991,1995,,, 
CITROEN,BERLINGO,BERLINGO,2002,2008,,, 
CITROEN,BERLINGO,BERLINGO,2008,2015,,, 
CITROEN,BERLINGO,BERLINGO,2015,,,, 
CITROEN,BERLINGO,BERLINGO,2019,,,, 
CITROEN,BERLINGO,BERLINGO,1996,2002,,, 
CITROEN,BERLINGO VAN,BERLINGOVAN,2019,,,, 
CITROEN,BX,BX,1982,1994,,, 
CITROEN,C-15,C15,1984,2005,,, 
CITROEN,C-CROSSER,CCROSSER,2007,2012,,, 
CITROEN,C-ELYSEE,CELYSEE,2013,2016,,, 
CITROEN,C-ELYSEE,CELYSEE,2016,,,, 
CITROEN,C1,C1,2006,2012,,, 
CITROEN,C1,C1,2012,2014,,, 
CITROEN,C1,C1,2014,,,, 
CITROEN,C2,C2,2003,2008,,, 
CITROEN,C2,C2,2008,2010,,, 
CITROEN,C3,C3,2002,2010,,, 
CITROEN,C3,C3,2010,2013,,, 
CITROEN,C3,C3,2013,2016,,, 
CITROEN,C3,C3,2016,,,, 
CITROEN,C3,C3,2024,,,, 
CITROEN,C3 AIR CROSS,C3AIRCROSS,2017,,,, 
CITROEN,C3 AIR CROSS,C3AIRCROSS,2021,,,, 
CITROEN,C3 PICASSO,C3PICASSO,2009,2012,,, 
CITROEN,C3 PICASSO,C3PICASSO,2012,2016,,, 
CITROEN,C3 PLURIEL,C3PLURIEL,2003,2010,,, 
CITROEN,C4,C4,2004,2011,,, 
CITROEN,C4,C4,2011,,,, 
CITROEN,C4,C4,2020,,,, 
CITROEN,C4 AIR CROSS,C4AIRCROSS,2012,2015,,, 
CITROEN,C4 CACTUS,C4CACTUS,2014,2018,,, 
CITROEN,C4 CACTUS,C4CACTUS,2018,,,, 
CITROEN,C4 GRAND PICASSO,C4GRANDPICASSO,2014,2017,,, 
CITROEN,C4 PICASSO,C4PICASSO,2007,2014,,, 
CITROEN,C4 PICASSO,C4PICASSO,2014,2017,,, 
CITROEN,C4 PICASSO/GRAND PICASSO,C4PICASSOGRANDPICASSO,2017,,,, 
CITROEN,C4 SPACETOURER,C4SPACETOURER,2019,,,, 
CITROEN,C5,C5,2001,2004,,, 
CITROEN,C5,C5,2004,2008,,, 
CITROEN,C5,C5,2008,2016,,, 
CITROEN,C5 AIR CROSS,C5AIRCROSS,2018,,,, 
CITROEN,C5 X,C5X,2021,,,, 
CITROEN,C8,C8,2002,2014,,, 
CITROEN,DS3,DS3,2010,2014,,, 
CITROEN,DS3,DS3,2014,2016,,, 
CITROEN,DS4,DS4,2011,2015,,, 
CITROEN,DS5,DS5,2011,2015,,, 
CITROEN,e JUMPER,eJUMPER,2020,,,, 
CITROEN,e JUMPER,eJUMPER,2023,,,, 
CITROEN,EVASION,EVASION,1994,2002,,, 
CITROEN,JUMPER,JUMPER,2002,2006,,, 
CITROEN,JUMPER,JUMPER,2006,2014,,, 
CITROEN,JUMPER,JUMPER,2014,,,, 
CITROEN,JUMPER,JUMPER,1994,2002,,, 
CITROEN,JUMPER C25,JUMPERC25,1981,1994,,, 
CITROEN,JUMPY,JUMPY,2004,2007,,, 
CITROEN,JUMPY,JUMPY,2007,2016,,, 
CITROEN,JUMPY,JUMPY,1995,2003,,, 
CITROEN,JUMPY/SPACE TOURER,JUMPYSPACETOURER,2016,,,, 
CITROEN,NEMO,NEMO,2008,,,, 
CITROEN,SAXO,SAXO,1996,1999,,, 
CITROEN,SAXO,SAXO,1999,2004,,, 
CITROEN,VISA,VISA,,,, 
CITROEN,XANTIA,XANTIA,1993,2001,,, 
CITROEN,XSARA,XSARA,2000,2004,,, 
CITROEN,XSARA,XSARA,1997,2000,,, 
CITROEN,XSARA PICASSO,XSARAPICASSO,1999,2007,,, 
CITROEN,ZX,ZX,1991,1993,,, 
CITROEN,ZX,ZX,1994,1997,,,
