manufacturer,model,search_code,start_year,end_year,variant,code,image_path
DACIA,BIGSTER,BIGSTER,2025,,,, 
DACIA,DOKKER,DOKKER,2012,,,, 
DACIA,DUSTER,DUSTER,2010,2017,,, 
DACIA,DUSTER,DUSTER,2017,,,, 
DACIA,DUSTER,DUSTER,2022,,,, 
DACIA,DUSTER,DUSTER,2024,,,, 
DACIA,JOGGER,JOGGER,2022,,,, 
DACIA,LODGY,LODGY,2012,,,, 
DACIA,LOGAN,LOGAN,2021,,,, 
DACIA,LOGAN-MCV,LOGANMCV,2005,2008,P.UP-VAN 09-12,, 
DACIA,LOGAN-MCV,LOGANMCV,2008,2012,,, 
DACIA,LOGAN-MCV,LOGANMCV,2012,2016,,, 
DACIA,LOGAN-MCV,LOGANMCV,2016,,,, 
DACIA,LOGAN-MCV,LOGANMCV,2021,,,, 
DACIA,SANDERO,SANDERO,2008,2012,,, 
DACIA,SANDERO,SANDERO,2012,2016,,, 
DACIA,SANDERO,SANDERO,2016,,,, 
DACIA,SANDERO,SANDERO,2020,,,, 
DACIA,SOLENZA,SOLENZA,2003,2007,,, 
DACIA,SPRING,SPRING,2021,,,,
