manufacturer,model,search_code,start_year,end_year,variant,code,image_path
DAEWOO,CHEVROLET KALOS,CHEVROLETKALOS,,2005,SDN-L/B,, 
DAEWOO,ESPERO,ESPERO,1996,,,, 
DAEWOO,LANOS,LANOS,1997,2008,H/B,, 
DAEWOO,LANOS,LANOS,1997,2008,L/B,, 
DAEWOO,LANOS,LANOS,1997,2008,SDN,, 
DAEWOO,LEGANZA,LEGANZA,,,, 
DAEWOO,MATIZ,MATIZ,,2000,,, 
DAEWOO,MATIZ,MATIZ,2000,2005,,, 
DAEWOO,NEXIA,NEXIA,1995,,H/B,, 
DAEWOO,NEXIA,NEXIA,1995,,SDN,, 
DAEWOO,NUBIRA,NUBIRA,2000,2003,,, 
DAEWOO,NUBIRA,NUBIRA,2003,2005,,, 
DAEWOO,NUBIRA,NUBIRA,1997,1999,,, 
DAEWOO,TACUMA,TACUMA,2001,,,,
