manufacturer,model,search_code,start_year,end_year,variant,code,image_path
FIAT,E-ULYSSE,EULYSSE,2022,,,, 
FIAT,126,126,,,, 
FIAT,128 GL,128GL,1976,,,, 
FIAT,500,500,2007,2015,,, 
FIAT,500,500,2015,,,, 
FIAT,500,500,1965,1985,,, 
FIAT,500 L,500L,2012,2017,,, 
FIAT,500 L,500L,2017,,,, 
FIAT,500 X,500X,2015,,,, 
FIAT,500 X,500X,2019,,,, 
FIAT,500e,500e,2021,,,, 
FIAT,ALBEA,ALBEA,2002,2005,,, 
FIAT,ALBEA,ALBEA,2005,,,, 
FIAT,BARCHETTA,BARCHETTA,1996,2004,,, 
FIAT,BRAVA,BRAVA,1995,2003,,, 
FIAT,BRAVO,BRAVO,2007,2014,,, 
FIAT,BRAVO,BRAVO,1995,2002,,, 
FIAT,CINQUECENTO,CINQUECENTO,1993,1998,,, 
FIAT,COUPE,COUPE,1996,2004,,, 
FIAT,CROMA,CROMA,1986,1996,,, 
FIAT,CROMA SW,CROMASW,2005,2009,,, 
FIAT,DOBLO,DOBLO,2001,2005,,, 
FIAT,DOBLO,DOBLO,2005,2009,,, 
FIAT,DOBLO,DOBLO,2009,2015,,, 
FIAT,DOBLO,DOBLO,2015,,,, 
FIAT,DOBLO,DOBLO,2022,,,, 
FIAT,DUCATO,DUCATO,2002,2006,,, 
FIAT,DUCATO,DUCATO,2006,2014,,, 
FIAT,DUCATO,DUCATO,2014,,,, 
FIAT,DUCATO,DUCATO,2020,,,, 
FIAT,DUCATO,DUCATO,1989,1994,,, 
FIAT,DUCATO,DUCATO,1994,2002,,, 
FIAT,FIORINO,FIORINO,1985,1988,,, 
FIAT,FIORINO,FIORINO,1988,1991,,, 
FIAT,FIORINO,FIORINO,1991,1997,,, 
FIAT,FIORINO,FIORINO,1997,1999,,, 
FIAT,FIORINO/QUBO,FIORINOQUBO,2008,2016,,, 
FIAT,FIORINO/QUBO,FIORINOQUBO,2016,,,, 
FIAT,FREEMONT,FREEMONT,2011,,,, 
FIAT,FULLBACK,FULLBACK,2016,,,, 
FIAT,GRANDE PANDA,GRANDEPANDA,2024,,,, 
FIAT,GRANDE PUNTO,GRANDEPUNTO,2005,2012,,, 
FIAT,IDEA,IDEA,2004,2010,,, 
FIAT,LINEA,LINEA,2007,2013,,, 
FIAT,LINEA,LINEA,2013,2015,,, 
FIAT,MAREA,MAREA,1996,2007,,, 
FIAT,MULTIPLA,MULTIPLA,2004,2010,,, 
FIAT,MULTIPLA,MULTIPLA,1998,2004,,, 
FIAT,PALIO,PALIO,1999,2004,,, 
FIAT,PANDA,PANDA,2003,2014,,, 
FIAT,PANDA,PANDA,1982,1986,,, 
FIAT,PANDA,PANDA,1986,2003,,, 
FIAT,PANDA NEW,PANDANEW,2012,,,, 
FIAT,PUNTO,PUNTO,2003,2011,,, 
FIAT,PUNTO,PUNTO,2012,,,, 
FIAT,PUNTO,PUNTO,1995,1999,,, 
FIAT,PUNTO,PUNTO,1999,2003,,, 
FIAT,PUNTO EVO,PUNTOEVO,2009,2012,,, 
FIAT,PUNTO GT,PUNTOGT,1996,1999,,, 
FIAT,REGATA,REGATA,,,, 
FIAT,SCUDO,SCUDO,2004,2007,,, 
FIAT,SCUDO,SCUDO,2007,2016,,, 
FIAT,SCUDO,SCUDO,2022,,,, 
FIAT,SCUDO,SCUDO,1995,2004,,, 
FIAT,SEDICI,SEDICI,2007,,,, 
FIAT,SEICENTO,SEICENTO,2001,2006,,, 
FIAT,SEICENTO,SEICENTO,1998,2001,,, 
FIAT,STILO,STILO,2001,2006,,, 
FIAT,STRADA,STRADA,2005,2014,,, 
FIAT,STRADA,STRADA,2012,,,, 
FIAT,STRADA,STRADA,1999,2005,,, 
FIAT,TALENTO,TALENTO,2016,,,, 
FIAT,TEMPRA,TEMPRA,1990,1995,,, 
FIAT,TIPO,TIPO,2016,,,, 
FIAT,TIPO,TIPO,2021,,,, 
FIAT,TIPO,TIPO,1988,1993,,, 
FIAT,TIPO,TIPO,1993,1995,,, 
FIAT,ULYSSE,ULYSSE,2002,2011,,, 
FIAT,ULYSSE,ULYSSE,1994,2002,,, 
FIAT,UNO,UNO,1983,1989,,, 
FIAT,UNO,UNO,1989,1993,,, 
OPEL,CORSA F,CORSAF,2019,2023,,,
