manufacturer,model,search_code,start_year,end_year,variant,code,image_path
FORD,B-MAX,BMAX,2012,,,, 
FORD,CORTINA 1.3 MKV,CORTINA13MKV,1980,1983,,, 
FORD,COURIER P/U,COURIERPU,1978,1985,,, 
FORD,COURIER P/U,COURIERPU,1986,1998,,, 
FORD,ECOSPORT,ECOSPORT,2013,2017,,, 
FORD,ECOSPORT,ECOSPORT,2017,,,, 
FORD,EDGE,EDGE,2015,,,, 
FORD,EDGE,EDGE,2019,,,, 
FORD,ESCORT,ESCORT,1990,1992,,, 
FORD,ESCORT,ESCORT,1993,1995,,, 
FORD,ESCORT,ESCORT,1995,1998,,, 
FORD,ESCORT I,ESCORTI,1968,1975,,, 
FORD,ESCORT II,ESCORTII,1975,1980,,, 
FORD,ESCORT III,ESCORTIII,1981,1986,,, 
FORD,ESCORT IV,ESCORTIV,1986,1988,,, 
FORD,ESCORT IV,ESCORTIV,1988,1990,,, 
FORD,EXPLORER,EXPLORER,2020,,,, 
FORD,F-150 RAPOR,F150RAPOR,2017,2020,P552,, 
FORD,FIESTA,FIESTA,2002,2008,,, 
FORD,FIESTA,FIESTA,2008,2013,,, 
FORD,FIESTA,FIESTA,2013,2017,,, 
FORD,FIESTA,FIESTA,2017,,,, 
FORD,FIESTA,FIESTA,1996,1999,,, 
FORD,FIESTA,FIESTA,1999,2002,,, 
FORD,FIESTA I,FIESTAI,1978,1982,,, 
FORD,FIESTA II,FIESTAII,1983,1989,,, 
FORD,FIESTA III,FIESTAIII,1990,1995,,, 
FORD,FOCUS,FOCUS,2004,2008,,, 
FORD,FOCUS,FOCUS,2008,2011,,, 
FORD,FOCUS,FOCUS,2011,2014,,, 
FORD,FOCUS,FOCUS,2014,2018,,, 
FORD,FOCUS,FOCUS,2018,,,, 
FORD,FOCUS,FOCUS,2022,,,, 
FORD,FOCUS,FOCUS,1998,2004,,, 
FORD,FOCUS C-MAX,FOCUSCMAX,2003,2007,,, 
FORD,FOCUS C-MAX,FOCUSCMAX,2007,2010,,, 
FORD,FOCUS C-MAX,FOCUSCMAX,2010,2014,,, 
FORD,FOCUS C-MAX,FOCUSCMAX,2014,,,, 
FORD,FUSION,FUSION,2002,2012,,, 
FORD,GALAXY,GALAXY,2006,2011,,, 
FORD,GALAXY,GALAXY,2011,2015,,, 
FORD,GALAXY,GALAXY,2015,,,, 
FORD,GALAXY,GALAXY,2019,,,, 
FORD,GALAXY,GALAXY,1995,2006,,, 
FORD,KA,KA,2008,2016,,, 
FORD,KA,KA,1997,2008,,, 
FORD,KA+,KAPLUS,2016,,,, 
FORD,KA+,KAPLUS,2018,,,, 
FORD,KUGA,KUGA,2008,2013,,, 
FORD,KUGA,KUGA,2013,2016,,, 
FORD,KUGA,KUGA,2016,,,, 
FORD,KUGA,KUGA,2020,,,, 
FORD,MAVERICK,MAVERICK,2000,2008,,, 
FORD,MONDEO,MONDEO,2000,2007,,, 
FORD,MONDEO,MONDEO,2007,2011,,, 
FORD,MONDEO,MONDEO,2011,2014,,, 
FORD,MONDEO,MONDEO,2014,,,, 
FORD,MONDEO,MONDEO,2019,,,, 
FORD,MONDEO,MONDEO,1993,1996,,, 
FORD,MONDEO,MONDEO,1996,2000,,, 
FORD,MONDEO SPORT,MONDEOSPORT,1999,2000,,, 
FORD,MUSTANG,MUSTANG,2024,,S650,, 
FORD,MUSTANG,MUSTANG,2015,2018,,, 
FORD,MUSTANG,MUSTANG,2018,,,, 
FORD,MUSTANG MACH e,MUSTANGMACHE,2021,,,, 
FORD,PUMA,PUMA,2020,,,, 
FORD,PUMA,PUMA,1998,2002,,, 
FORD,RANGER,RANGER,2006,2009,,, 
FORD,RANGER,RANGER,2009,2012,,, 
FORD,RANGER,RANGER,2012,2015,,, 
FORD,RANGER,RANGER,2015,,,, 
FORD,RANGER,RANGER,2019,,,, 
FORD,RANGER,RANGER,2022,,,, 
FORD,RANGER,RANGER,1999,2006,,, 
FORD,RANGER RAPTOR,RANGERRAPTOR,2019,,,, 
FORD,S-MAX,SMAX,2007,2011,,, 
FORD,S-MAX,SMAX,2011,2015,,, 
FORD,S-MAX,SMAX,2015,,,, 
FORD,S-MAX,SMAX,2019,,,, 
FORD,SCORPIO,SCORPIO,1985,1994,,, 
FORD,SIERRA,SIERRA,1983,1987,,, 
FORD,SIERRA,SIERRA,1987,1990,,, 
FORD,SIERRA,SIERRA,1990,1992,,, 
FORD,TRANSIT,TRANSIT,2000,2006,,, 
FORD,TRANSIT,TRANSIT,2006,2013,,, 
FORD,TRANSIT,TRANSIT,2013,,,, 
FORD,TRANSIT,TRANSIT,2019,,,, 
FORD,TRANSIT,TRANSIT,1987,1991,,, 
FORD,TRANSIT,TRANSIT,1992,1995,,, 
FORD,TRANSIT,TRANSIT,1995,2000,,, 
FORD,TRANSIT CONNECT,TRANSITCONNECT,2003,2010,,, 
FORD,TRANSIT CONNECT,TRANSITCONNECT,2010,2013,,, 
FORD,TRANSIT/TOURNEO CONNECT,TRANSITTOURNEOCONNECT,2013,,,, 
FORD,TRANSIT/TOURNEO CONNECT,TRANSITTOURNEOCONNECT,2019,,,, 
FORD,TRANSIT/TOURNEO CONNECT,TRANSITTOURNEOCONNECT,2022,,,, 
FORD,TRANSIT/TOURNEO COURIER,TRANSITTOURNEOCOURIER,2013,,,, 
FORD,TRANSIT/TOURNEO CUSTOM,TRANSITTOURNEOCUSTOM,2013,,,, 
FORD,TRANSIT/TOURNEO CUSTOM,TRANSITTOURNEOCUSTOM,2018,,,,
