manufacturer,model,search_code,start_year,end_year,variant,code,image_path
HONDA,ACCORD,ACCORD,2003,2008,,, 
HONDA,ACCORD,ACCORD,2008,,,, 
HONDA,ACCORD,ACCORD,1986,1989,,, 
HONDA,ACCORD,ACCORD,1990,1992,,, 
HONDA,ACCORD,ACCORD,1992,1995,,, 
HONDA,ACCORD,ACCORD,1998,2001,,, 
HONDA,CIVIC H/B,CIVICHB,2016,,,, 
HONDA,CIVIC H/B,CIVICHB,2022,,,, 
HONDA,CIVIC H/B,CIVICHB,1980,1981,,, 
HONDA,CIVIC H/B,CIVICHB,1984,1987,,, 
HONDA,CIVIC H/B,CIVICHB,1988,1990,,, 
HONDA,CIVIC H/B,CIVICHB,1990,1992,,, 
HONDA,CIVIC H/B,CIVICHB,1992,1996,,, 
HONDA,CIVIC H/B,CIVICHB,1996,1999,,, 
HONDA,CIVIC H/B,CIVICHB,1999,2000,,, 
HONDA,CIVIC H/B-L/B,CIVICHBLB,2001,2004,,, 
HONDA,CIVIC H/B-L/B,CIVICHBLB,2004,2005,,, 
HONDA,CIVIC H/B-L/B,CIVICHBLB,2006,2012,,, 
HONDA,CIVIC H/B-L/B,CIVICHBLB,2012,2016,,, 
HONDA,CIVIC L/B,CIVICLB,1996,1999,,, 
HONDA,CIVIC SEDAN,CIVICSEDAN,2001,2004,,, 
HONDA,CIVIC SEDAN,CIVICSEDAN,2004,2005,,, 
HONDA,CIVIC SEDAN,CIVICSEDAN,2006,2011,,, 
HONDA,CIVIC SEDAN,CIVICSEDAN,2016,,,, 
HONDA,CIVIC SEDAN,CIVICSEDAN,2022,,,, 
HONDA,CIVIC SEDAN,CIVICSEDAN,1984,1985,,, 
HONDA,CIVIC SEDAN,CIVICSEDAN,1986,1987,,, 
HONDA,CIVIC SEDAN,CIVICSEDAN,1988,1990,,, 
HONDA,CIVIC SEDAN,CIVICSEDAN,1990,1992,,, 
HONDA,CIVIC SEDAN,CIVICSEDAN,1992,1996,,, 
HONDA,CIVIC SEDAN,CIVICSEDAN,1996,1999,,, 
HONDA,CIVIC SEDAN,CIVICSEDAN,1999,2000,,, 
HONDA,CIVIC SEDAN-H/B,CIVICSEDANHB,1982,1983,,, 
HONDA,CIVIC TYPE-R,CIVICTYPER,2017,,,, 
HONDA,CR-V,CRV,2002,2007,,, 
HONDA,CR-V,CRV,2007,2010,,, 
HONDA,CR-V,CRV,2010,2013,,, 
HONDA,CR-V,CRV,2013,2015,,, 
HONDA,CR-V,CRV,2015,2017,,, 
HONDA,CR-V,CRV,2017,,,, 
HONDA,CR-V,CRV,2023,,,, 
HONDA,CR-V,CRV,1996,2002,,, 
HONDA,CR-Z,CRZ,2011,2016,,, 
HONDA,CRX,CRX,1986,1990,,, 
HONDA,CRX,CRX,1990,1992,,, 
HONDA,CRX TARGA,CRXTARGA,1995,2004,,, 
HONDA,E,E,2019,,,, 
HONDA,ENY1,ENY1,2023,,,, 
HONDA,FRV,FRV,2006,2011,,, 
HONDA,HR-V,HRV,2015,2019,,, 
HONDA,HR-V,HRV,2019,,,, 
HONDA,HR-V,HRV,2022,,,, 
HONDA,HR-V,HRV,1999,2005,,, 
HONDA,INSIGHT,INSIGHT,2009,2014,,, 
HONDA,JAZZ,JAZZ,2001,2008,,, 
HONDA,JAZZ,JAZZ,2008,2011,,, 
HONDA,JAZZ,JAZZ,2011,2015,,, 
HONDA,JAZZ,JAZZ,2015,2018,,, 
HONDA,JAZZ,JAZZ,2018,,,, 
HONDA,JAZZ,JAZZ,2020,,,, 
HONDA,S2000,S2000,2001,2009,,, 
HONDA,ZR-V,ZRV,2024,,,,
