manufacturer,model,search_code,start_year,end_year,variant,code,image_path
HYUNDAI,ACCENT,ACCENT,2011,2014,EXPORT TYPE,, 
HYUNDAI,ACCENT,ACCENT,2014,2018,EXPORT TYPE,, 
HYUNDAI,ACCENT H/B,ACCENTH,1994,1997,,, 
HYUNDAI,ACCENT H/B,ACCENTH,1997,1999,,, 
HYUNDAI,ACCENT H/B,ACCENTH,1999,2002,,, 
HYUNDAI,ACCENT H/B-L/B,ACCENTHBLB,2003,2005,,, 
HYUNDAI,ACCENT L/B,ACCENTLB,1994,1997,,, 
HYUNDAI,ACCENT L/B,ACCENTLB,1997,1999,,, 
HYUNDAI,ACCENT L/B,ACCENTLB,1999,2002,,, 
HYUNDAI,ACCENT SDN,ACCENTSDN,2006,2011,,, 
HYUNDAI,ACCENT SDN,ACCENTSDN,1994,1997,,, 
HYUNDAI,ACCENT SDN,ACCENTSDN,1997,1999,,, 
HYUNDAI,ACCENT SDN,ACCENTSDN,1999,2002,,, 
HYUNDAI,ATOS,ATOS,1997,2000,,, 
HYUNDAI,ATOS PRIME,ATOSPRIME,2003,2007,,, 
HYUNDAI,ATOS PRIME,ATOSPRIME,1999,2003,,, 
HYUNDAI,BAYON,BAYON,2021,,,, 
HYUNDAI,COUPE,COUPE,2001,2007,,, 
HYUNDAI,COUPE,COUPE,1997,1999,,, 
HYUNDAI,COUPE,COUPE,1999,2001,,, 
HYUNDAI,ELANTRA,ELANTRA,2000,2004,,, 
HYUNDAI,ELANTRA,ELANTRA,2004,2007,,, 
HYUNDAI,ELANTRA,ELANTRA,2011,2013,,, 
HYUNDAI,ELANTRA,ELANTRA,2013,2015,,, 
HYUNDAI,ELANTRA,ELANTRA,2015,,,, 
HYUNDAI,ELANTRA,ELANTRA,2019,,,, 
HYUNDAI,ELANTRA,ELANTRA,2021,,,, 
HYUNDAI,EXCEL,EXCEL,1990,1992,,, 
HYUNDAI,EXCEL,EXCEL,1992,1994,,, 
HYUNDAI,GALLOPER,GALLOPER,1988,1998,,, 
HYUNDAI,GETZ,GETZ,2002,2005,,, 
HYUNDAI,GETZ,GETZ,2006,2010,,, 
HYUNDAI,H1,H1,2018,,,, 
HYUNDAI,H1 STAREX,H1STAREX,2008,,,, 
HYUNDAI,H1 VAN,H1VAN,1998,2008,,, 
HYUNDAI,H100 VAN,H100VAN,1993,2003,,, 
HYUNDAI,i10,i10,2007,2010,,, 
HYUNDAI,i10,i10,2010,2013,,, 
HYUNDAI,i10,i10,2013,2016,,, 
HYUNDAI,i10,i10,2016,,,, 
HYUNDAI,i10,i10,2019,,,, 
HYUNDAI,i10 III,i10III,2023,,,, 
HYUNDAI,i20,i20,2014,2018,COUPE,, 
HYUNDAI,i20,i20,2014,2018,H/B,, 
HYUNDAI,i20,i20,2008,2012,,, 
HYUNDAI,i20,i20,2012,2014,,, 
HYUNDAI,i20,i20,2018,,,, 
HYUNDAI,i20,i20,2020,,,, 
HYUNDAI,i20,i20,2024,,,, 
HYUNDAI,i30,i30,2007,2012,,, 
HYUNDAI,i30 3D,i303D,2012,2014,,, 
HYUNDAI,i30 5D,i305D,2012,2014,,, 
HYUNDAI,i30 5D,i305D,2014,2017,,, 
HYUNDAI,i30 FASTBACK,i30FASTBACK,2017,,,, 
HYUNDAI,i30 FASTBACK,i30FASTBACK,2020,,,, 
HYUNDAI,i30 HATCHBACK,i30HATCHBACK,2020,,,, 
HYUNDAI,i30 HATCHBACK/TOURER,i30HATCHBACKTOURER,2017,,,, 
HYUNDAI,i40,i40,2011,,,, 
HYUNDAI,IONIQ,IONIQ,2017,,,, 
HYUNDAI,IONIQ 5,IONIQ5,2021,,,, 
HYUNDAI,IONIQ 6,IONIQ6,2023,,,, 
HYUNDAI,iX20,iX20,2011,,,, 
HYUNDAI,iX35,iX35,2010,,,, 
HYUNDAI,KONA,KONA,2017,,,, 
HYUNDAI,KONA,KONA,2020,,,, 
HYUNDAI,KONA,KONA,2023,,,, 
HYUNDAI,LANTRA,LANTRA,1990,1992,,, 
HYUNDAI,LANTRA,LANTRA,1993,1995,,, 
HYUNDAI,LANTRA J2,LANTRAJ2,1995,1998,,, 
HYUNDAI,LANTRA J2,LANTRAJ2,1998,1999,,, 
HYUNDAI,MATRIX,MATRIX,2001,2008,,, 
HYUNDAI,MATRIX,MATRIX,2008,2010,,, 
HYUNDAI,SANTA FE,SANTAFE,2000,2005,,, 
HYUNDAI,SANTA FE,SANTAFE,2005,2009,,, 
HYUNDAI,SANTA FE,SANTAFE,2009,2012,,, 
HYUNDAI,SANTA FE,SANTAFE,2012,2016,,, 
HYUNDAI,SANTA FE,SANTAFE,2016,2018,,, 
HYUNDAI,SANTA FE,SANTAFE,2018,,,, 
HYUNDAI,SANTA FE,SANTAFE,2020,,,, 
HYUNDAI,SANTA FE,SANTAFE,2023,,,, 
HYUNDAI,SCOUPE,SCOUPE,1990,1992,,, 
HYUNDAI,SCOUPE,SCOUPE,1992,1995,,, 
HYUNDAI,SONATA,SONATA,2001,2005,,, 
HYUNDAI,SONATA,SONATA,2006,2011,,, 
HYUNDAI,SONATA,SONATA,2011,2015,,, 
HYUNDAI,SONATA,SONATA,2015,2018,,, 
HYUNDAI,SONATA,SONATA,2018,,,, 
HYUNDAI,SONATA,SONATA,2019,,,, 
HYUNDAI,SONATA,SONATA,1992,1996,,, 
HYUNDAI,TERRACAN,TERRACAN,2004,2008,,, 
HYUNDAI,TRAJET,TRAJET,2004,2008,,, 
HYUNDAI,TUCSON,TUCSON,2024,,NX4,, 
HYUNDAI,TUCSON,TUCSON,2004,2010,,, 
HYUNDAI,TUCSON,TUCSON,2015,2018,,, 
HYUNDAI,TUCSON,TUCSON,2018,,,, 
HYUNDAI,TUCSON,TUCSON,2020,,,,
