manufacturer,model,search_code,start_year,end_year,variant,code,image_path
JEEP,CHEROKEE,CHEROKEE,2002,2008,LIBERTY,, 
JEEP,CHEROKEE,CHEROKEE,2008,2014,LIBERTY,, 
JEEP,CHEROKEE,CHEROKEE,2014,,,, 
JEEP,CHEROKEE,CHEROKEE,2019,,,, 
JEEP,CHEROKEE,CHEROKEE,1997,2001,,, 
JEEP,COMMANDER,COMMANDER,2006,2010,,, 
JEEP,COMPASS,COMPASS,2007,2011,,, 
JEEP,COMPASS,COMPASS,2011,2016,,, 
JEEP,COMPASS,COMPASS,2016,,,, 
JEEP,COMPASS,COMPASS,2022,,,, 
JEEP,GLADIATOR,GLADIATOR,2020,,JT,, 
JEEP,GRAND CHEROKEE,GRANDCHEROKEE,2005,2008,,, 
JEEP,GRAND CHEROKEE,GRANDCHEROKEE,2008,2011,,, 
JEEP,GRAND CHEROKEE,GRANDCHEROKEE,2011,2014,,, 
JEEP,GRAND CHEROKEE,GRANDCHEROKEE,2014,2017,,, 
JEEP,GRAND CHEROKEE,GRANDCHEROKEE,2017,,,, 
JEEP,GRAND CHEROKEE,GRANDCHEROKEE,2021,,,, 
JEEP,GRAND CHEROKEE,GRANDCHEROKEE,1993,1998,,, 
JEEP,GRAND CHEROKEE,GRANDCHEROKEE,1999,2005,,, 
JEEP,PATRIOT,PATRIOT,2007,2016,,, 
JEEP,RENEGADE,RENEGADE,2014,2018,,, 
JEEP,RENEGADE,RENEGADE,2018,,,, 
JEEP,WRANGLER,WRANGLER,2018,,,, 
JEEP,WRANGLER 4D,WRANGLER4D,2007,2018,,,
