manufacturer,model,search_code,start_year,end_year,variant,code,image_path
KIA,CARENS,CARENS,2002,2006,,, 
KIA,CARENS,CARENS,2006,2013,,, 
KIA,CARENS,CARENS,2013,,,, 
KIA,CARNIVAL,CARNIVAL,1999,2006,,, 
KIA,CARNIVAL,CARNIVAL,2006,2014,,, 
KIA,CARNIVAL,CARNIVAL,2015,2020,,, 
KIA,CARNIVAL,CARNIVAL,2021,,,, 
KIA,CEED,CEED,2007,2012,,, 
KIA,CEED,CEED,2012,2018,,, 
KIA,CEED,CEED,2018,,,, 
KIA,CEED SW,CEEDSW,2007,2012,,, 
KIA,CEED SW,CEEDSW,2012,2018,,, 
KIA,CEED SW,CEEDSW,2018,,,, 
KIA,CERATO,CERATO,2004,2007,,, 
KIA,CERATO,CERATO,2007,2010,,, 
KIA,CERATO,CERATO,2013,2018,,, 
KIA,CERATO,CERATO,2018,,,, 
KIA,CERATO KOUP,CERATOKOUP,2009,2013,,, 
KIA,EV6,EV6,2021,,,, 
KIA,FORTE,FORTE,2008,2012,,, 
KIA,FORTE,FORTE,2013,2018,,, 
KIA,FORTE,FORTE,2018,,,, 
KIA,K5,K5,2020,,,, 
KIA,MAGENTIS,MAGENTIS,2001,2005,,, 
KIA,MAGENTIS,MAGENTIS,2005,2010,,, 
KIA,NIRO,NIRO,2016,2022,,, 
KIA,NIRO,NIRO,2022,,,, 
KIA,OPTIMA,OPTIMA,2010,2015,,, 
KIA,OPTIMA,OPTIMA,2015,2020,,, 
KIA,PICANTO,PICANTO,2004,2011,,, 
KIA,PICANTO,PICANTO,2011,2017,,, 
KIA,PICANTO,PICANTO,2017,,,, 
KIA,PRO CEED,PROCEED,2019,,,, 
KIA,RIO,RIO,2000,2005,,, 
KIA,RIO,RIO,2005,2011,,, 
KIA,RIO,RIO,2011,2017,,, 
KIA,RIO,RIO,2017,2020,,, 
KIA,RIO,RIO,2020,,,, 
KIA,SEDONA,SEDONA,2002,2006,,, 
KIA,SEDONA,SEDONA,2006,2014,,, 
KIA,SEPHIA,SEPHIA,1992,1997,,, 
KIA,SEPHIA,SEPHIA,1997,2003,,, 
KIA,SHUMA,SHUMA,1997,2001,,, 
KIA,SHUMA,SHUMA,2001,2004,,, 
KIA,SORENTO,SORENTO,2002,2009,,, 
KIA,SORENTO,SORENTO,2009,2015,,, 
KIA,SORENTO,SORENTO,2015,2020,,, 
KIA,SORENTO,SORENTO,2020,,,, 
KIA,SOUL,SOUL,2009,2014,,, 
KIA,SOUL,SOUL,2014,2019,,, 
KIA,SOUL,SOUL,2019,,,, 
KIA,SPORTAGE,SPORTAGE,1993,2003,,, 
KIA,SPORTAGE,SPORTAGE,2004,2010,,, 
KIA,SPORTAGE,SPORTAGE,2010,2015,,, 
KIA,SPORTAGE,SPORTAGE,2015,2022,,, 
KIA,SPORTAGE,SPORTAGE,2022,,,, 
KIA,STINGER,STINGER,2017,,,, 
KIA,STONIC,STONIC,2017,,,, 
KIA,VENGA,VENGA,2009,2019,,, 
KIA,XCEED,XCEED,2019,,,, 
