manufacturer,model,search_code,start_year,end_year,variant,code,image_path
LAND ROVER,DEFENDER,DEFENDER,1983,2016,,, 
LAND ROVER,DEFENDER,DEFENDER,2020,,,, 
LAND ROVER,DISCOVERY,DISCOVERY,1989,1999,,, 
LAND ROVER,DISCOVERY,DISCOVERY,1999,2004,,, 
LAND ROVER,DISCOVERY,DISCOVERY,2004,2009,,, 
LAND ROVER,DISCOVERY,DISCOVERY,2009,2016,,, 
LAND ROVER,DISCOVERY,DISCOVERY,2017,,,, 
LAND ROVER,DISCOVERY SPORT,DISCOVERYSPORT,2014,2019,,, 
LAND ROVER,DISCOVERY SPORT,DISCOVERYSPORT,2019,,,, 
LAND ROVER,FREELANDER,FREELANDER,1997,2006,,, 
LAND ROVER,FREELANDER,FREELANDER,2006,2014,,, 
LAND ROVER,RANGE ROVER,RANGEROVER,1970,1996,,, 
LAND ROVER,RANGE ROVER,RANGEROVER,1994,2002,,, 
LAND ROVER,RANGE ROVER,RANGEROVER,2002,2012,,, 
LAND ROVER,RANGE ROVER,RANGEROVER,2012,2022,,, 
LAND ROVER,RANGE ROVER,RANGEROVER,2022,,,, 
LAND ROVER,RANGE ROVER EVOQUE,RANGEROVEREVOQUE,2011,2019,,, 
LAND ROVER,RANGE ROVER EVOQUE,RANGEROVEREVOQUE,2019,,,, 
LAND ROVER,RANGE ROVER SPORT,RANGEROVERSPORT,2005,2013,,, 
LAND ROVER,RANGE ROVER SPORT,RANGEROVERSPORT,2013,2022,,, 
LAND ROVER,RANGE ROVER SPORT,RANGEROVERSPORT,2022,,,, 
LAND ROVER,RANGE ROVER VELAR,RANGEROVERVELAR,2017,,,, 
LAND ROVER,RANGE ROVER VOGUE,RANGEROVERVERVOGUE,1994,2002,,, 
LAND ROVER,RANGE ROVER VOGUE,RANGEROVERVERVOGUE,2002,2012,,, 
LAND ROVER,SERIES I,SERIESI,1948,1958,,, 
LAND ROVER,SERIES II,SERIESII,1958,1971,,, 
LAND ROVER,SERIES III,SERIESIII,1971,1985,,, 
