manufacturer,model,search_code,start_year,end_year,variant,code,image_path
LEXUS,CT,CT,2011,2018,,, 
LEXUS,ES,ES,1989,1991,,, 
LEXUS,ES,ES,1991,1996,,, 
LEXUS,ES,ES,1996,2001,,, 
LEXUS,ES,ES,2001,2006,,, 
LEXUS,ES,ES,2006,2012,,, 
LEXUS,ES,ES,2012,2018,,, 
LEXUS,ES,ES,2018,,,, 
LEXUS,GS,GS,1993,1997,,, 
LEXUS,GS,GS,1997,2005,,, 
LEXUS,GS,GS,2005,2012,,, 
LEXUS,GS,GS,2012,2020,,, 
LEXUS,GX,GX,2003,2009,,, 
LEXUS,GX,GX,2009,2023,,, 
LEXUS,GX,GX,2023,,,, 
LEXUS,IS,IS,1999,2005,,, 
LEXUS,IS,IS,2005,2013,,, 
LEXUS,IS,IS,2013,2020,,, 
LEXUS,IS,IS,2020,,,, 
LEXUS,LC,LC,2017,,,, 
LEXUS,LS,LS,1989,1994,,, 
LEXUS,LS,LS,1994,2000,,, 
LEXUS,LS,LS,2000,2006,,, 
LEXUS,LS,LS,2006,2017,,, 
LEXUS,LS,LS,2017,,,, 
LEXUS,LX,LX,1996,2007,,, 
LEXUS,LX,LX,2007,2015,,, 
LEXUS,LX,LX,2015,2021,,, 
LEXUS,LX,LX,2021,,,, 
LEXUS,NX,NX,2014,2021,,, 
LEXUS,NX,NX,2021,,,, 
LEXUS,RC,RC,2014,2020,,, 
LEXUS,RC,RC,2020,,,, 
LEXUS,RX,RX,1998,2003,,, 
LEXUS,RX,RX,2003,2009,,, 
LEXUS,RX,RX,2009,2015,,, 
LEXUS,RX,RX,2015,2022,,, 
LEXUS,RX,RX,2022,,,, 
LEXUS,SC,SC,1991,2000,,, 
LEXUS,SC,SC,2001,2010,,, 
LEXUS,UX,UX,2018,,,, 
