manufacturer,model,search_code,start_year,end_year,variant,code,image_path
MERCEDES,190E,190E,1984,1993,W201,, 
MERCEDES,200/4,2004,1973,1976,W115,, 
MERCEDES,207/307,207307,1977,1995,,, 
MERCEDES,406/608,406608,1968,1994,,, 
MERCEDES,A CLASS,ACLASS,2018,,V177 SEDAN,, 
MERCEDES,A CLASS,ACLASS,1998,2004,W168,, 
MERCEDES,A CLASS,ACLASS,2004,2012,W169,, 
MERCEDES,A CLASS,ACLASS,2012,2015,W176,, 
MERCEDES,A CLASS,ACLASS,2015,2018,W176,, 
MERCEDES,A CLASS,ACLASS,2018,,W177,, 
MERCEDES,ACTROS,ACTROS,2003,2008,,, 
MERCEDES,ACTROS,ACTROS,2008,2011,,, 
MERCEDES,ACTROS,ACTROS,2011,,,, 
MERCEDES,ACTROS,ACTROS,1996,2002,,, 
MERCEDES,AMG GT 4DOOR COUPE,AMGGT4DOORCOUPE,2019,,,, 
MERCEDES,ATEGO,ATEGO,1997,,,, 
MERCEDES,B CLASS,BCLASS,2006,2008,W245,, 
MERCEDES,B CLASS,BCLASS,2008,2011,W245,, 
MERCEDES,B CLASS,BCLASS,2011,2014,W246,, 
MERCEDES,B CLASS,BCLASS,2014,,W246,, 
MERCEDES,B CLASS,BCLASS,2019,,W247,, 
MERCEDES,C CLASS,CCLASS,2018,,C205/A205 COUPE/CABRIO,, 
MERCEDES,C CLASS,CCLASS,1993,1999,W202,, 
MERCEDES,C CLASS,CCLASS,2000,2003,W203 SDN/S.W.,, 
MERCEDES,C CLASS,CCLASS,2003,2007,W203 SDN/S.W.,, 
MERCEDES,C CLASS,CCLASS,2007,2011,W204,, 
MERCEDES,C CLASS,CCLASS,2011,2014,W204,, 
MERCEDES,C CLASS,CCLASS,2011,2015,W204 COUPE,, 
MERCEDES,C CLASS,CCLASS,2015,,W205 COUPE/CABRIO,, 
MERCEDES,C CLASS,CCLASS,2018,,W205 SDN,, 
MERCEDES,C CLASS,CCLASS,2014,,W205 SDN/S.W.,, 
MERCEDES,C CLASS,CCLASS,2021,,W206 SDN/S.W.,, 
MERCEDES,CITAN,CITAN,2013,,W415,, 
MERCEDES,CITAN,CITAN,2021,,W420,, 
MERCEDES,CLA,CLA,2013,2016,117,, 
MERCEDES,CLA,CLA,2016,,117,, 
MERCEDES,CLA,CLA,2019,,C118/CLA SHOOTING BRAKE X118,, 
MERCEDES,CLA,CLA,2023,,C118/CLA SHOOTING BRAKE X118,, 
MERCEDES,CLC,CLC,2001,2008,W203 COUPE,, 
MERCEDES,CLC,CLC,2008,2011,W203 COUPE,, 
MERCEDES,CLE COUPE/CABRIO,CLECOUPE,2023,,C236/A236,, 
MERCEDES,CLK,CLK,1997,2002,W208,, 
MERCEDES,CLK,CLK,2002,2009,W209,, 
MERCEDES,CLS,CLS,2018,,C257 COUPE,, 
MERCEDES,CLS,CLS,2010,2014,W218 COUPE,, 
MERCEDES,CLS,CLS,2014,2018,W218 COUPE,, 
MERCEDES,CLS,CLS,2004,2008,W219 COUPE,, 
MERCEDES,CLS,CLS,2008,2010,W219 COUPE,, 
MERCEDES,E CLASS,ECLASS,2016,,238 COUPE/CABRIO,, 
MERCEDES,E CLASS,ECLASS,2020,,C/A238 COUPE/CABRIO,, 
MERCEDES,E CLASS,ECLASS,2013,2016,C207 COUPE/CABRIO,, 
MERCEDES,E CLASS,ECLASS,1976,1982,W123,, 
MERCEDES,E CLASS,ECLASS,1985,1992,W124,, 
MERCEDES,E CLASS,ECLASS,1993,1995,W124,, 
MERCEDES,E CLASS,ECLASS,2009,2013,W207 COUPE/CABRIO,, 
MERCEDES,E CLASS,ECLASS,1996,1999,W210,, 
MERCEDES,E CLASS,ECLASS,1999,2002,W210,, 
MERCEDES,E CLASS,ECLASS,2002,2009,W211,, 
MERCEDES,E CLASS,ECLASS,2009,2013,W212,, 
MERCEDES,E CLASS,ECLASS,2013,2016,W212,, 
MERCEDES,E CLASS,ECLASS,2016,,W213,, 
MERCEDES,E CLASS,ECLASS,2020,,W213,, 
MERCEDES,E CLASS,ECLASS,2023,,W214,, 
MERCEDES,EQA,EQA,2021,,243,, 
MERCEDES,EQB,EQB,2021,,X243,, 
MERCEDES,EQC CLASS,EQCCLASS,2019,,BM 293,, 
MERCEDES,EQE,EQE,2022,,X294,, 
MERCEDES,EQS,EQS,2021,,BM297,, 
MERCEDES,EQV,EQV,2020,,W447,, 
MERCEDES,G CLASS,GCLASS,1979,1993,W460,, 
MERCEDES,G CLASS,GCLASS,1989,,W461/463,, 
MERCEDES,GL,GL,2006,2012,X164,, 
MERCEDES,GL,GL,2012,2015,X166,, 
MERCEDES,GLA,GLA,2020,,247,, 
MERCEDES,GLA,GLA,2014,2017,X156,, 
MERCEDES,GLA,GLA,2017,,X156,, 
MERCEDES,GLB,GLB,2019,,X247,, 
MERCEDES,GLC,GLC,2020,,253 SUV/COUPE,, 
