manufacturer,model,search_code,start_year,end_year,variant,code,image_path
MINI,CABRIO,CABRIO,2015,,F57,, 
MINI,CABRIO,CABRIO,2021,,F57,, 
MINI,CABRIO,CABRIO,2004,2008,R52,, 
MINI,CABRIO,CABRIO,2008,2010,R57,, 
MINI,CABRIO,CABRIO,2010,2015,R57,, 
MINI,CLUBMAN,CLUBMAN,2015,,F54,, 
MINI,CLUBMAN,CLUBMAN,2006,2010,R55,, 
MINI,CLUBMAN,CLUBMAN,2010,2015,R55,, 
MINI,COOPER 3D,COOPER3D,2024,,F66,, 
MINI,COOPER 5D,COOPER5D,2024,,F65,, 
MINI,COOPER COUNTRYMAN,COOPERCOUNTRYMAN,2016,,F60,, 
MINI,COOPER COUNTRYMAN,COOPERCOUNTRYMAN,2011,2016,,, 
MINI,COOPER PACEMAN,COOPERPACEMAN,2013,,,, 
MINI,COOPER/CLUBMAN,COOPERCLUBMAN,2011,2014,,, 
MINI,COOPER/CLUBMAN,COOPERCLUBMAN,2014,,,, 
MINI,COOPER/ONE,COOPERONE,2021,,F55/F56,, 
MINI,COOPER/ONE,COOPERONE,2002,2006,,, 
MINI,COOPER/ONE,COOPERONE,2006,2011,,, 
MINI,COUNTRYMAN,COUNTRYMAN,2021,,F60,, 
MINI,COUNTRYMAN,COUNTRYMAN,2024,,U25,, 
MINI,COUPE,COUPE,2011,,R58,, 
MINI,ROADSTER,ROADSTER,2011,,R59,, 
