manufacturer,model,search_code,start_year,end_year,variant,code,image_path
MITSUBISHI,ASX,ASX,2010,2014,,, 
MITSUBISHI,ASX,ASX,2012,2016,,, 
MITSUBISHI,ASX,ASX,2014,2018,,, 
MITSUBISHI,ASX,ASX,2017,,,, 
MITSUBISHI,ASX,ASX,2020,,,, 
MITSUBISHI,ASX,ASX,2023,,,, 
MITSUBISHI,CANTER,CANTER,2005,2012,,, 
MITSUBISHI,CANTER,CANTER,2012,,,, 
MITSUBISHI,CANTER,CANTER,1997,2004,,, 
MITSUBISHI,CARISMA,CARISMA,1996,2005,,, 
MITSUBISHI,COLT,COLT,1987,1989,C15,, 
MITSUBISHI,COLT,COLT,1989,1992,C65,, 
MITSUBISHI,COLT,COLT,1996,1999,CJ1,, 
MITSUBISHI,COLT,COLT,1999,2005,CJ1,, 
MITSUBISHI,COLT,COLT,2005,2008,,, 
MITSUBISHI,COLT,COLT,2008,2012,,, 
MITSUBISHI,COLT,COLT,2023,,,, 
MITSUBISHI,COLT,COLT,1992,1995,,, 
MITSUBISHI,ECLIPSE,ECLIPSE,1990,1994,,, 
MITSUBISHI,ECLIPSE CROSS,ECLIPSECROSS,2018,,,, 
MITSUBISHI,ECLIPSE CROSS,ECLIPSECROSS,2022,,,, 
MITSUBISHI,GRANDIS,GRANDIS,2005,2011,,, 
MITSUBISHI,i-MiEV,IMIEV,2010,,,, 
MITSUBISHI,L300,L300,1980,1985,,, 
MITSUBISHI,L300,L300,1988,2013,,, 
MITSUBISHI,L300 BUS,L300BUS,1988,2004,,, 
MITSUBISHI,L300 PICK-UP,L300PICKUP,1986,1988,,, 
MITSUBISHI,L400,L400,,,, 
MITSUBISHI,LANCER,LANCER,1980,1984,A171,, 
MITSUBISHI,LANCER,LANCER,1977,1980,A75,, 
MITSUBISHI,LANCER,LANCER,1984,1986,C11,, 
MITSUBISHI,LANCER,LANCER,1989,1992,C61/5,, 
MITSUBISHI,LANCER,LANCER,1992,1995,CB1/4,, 
MITSUBISHI,LANCER,LANCER,1995,1997,CK1,, 
MITSUBISHI,LANCER,LANCER,1997,2004,CK1,, 
MITSUBISHI,LANCER,LANCER,2004,2008,,, 
MITSUBISHI,LANCER L/B,LANCERLB,1989,1992,C61-65,, 
MITSUBISHI,LANCER SEDAN,LANCERSEDAN,2008,,,, 
MITSUBISHI,LANCER SPORTBACK,LANCERSPORTBACK,2008,,,, 
MITSUBISHI,OUTLANDER,OUTLANDER,2003,2007,,, 
MITSUBISHI,OUTLANDER,OUTLANDER,2007,2011,,, 
MITSUBISHI,OUTLANDER,OUTLANDER,2011,2013,,, 
MITSUBISHI,OUTLANDER,OUTLANDER,2016,,,, 
MITSUBISHI,OUTLANDER,OUTLANDER,2021,,,, 
MITSUBISHI,OUTLANDER PHEV,OUTLANDERPHEV,2013,2016,,, 
MITSUBISHI,P/U L200,PUL200,2002,2006,,, 
MITSUBISHI,P/U L200,PUL200,2006,2010,,, 
MITSUBISHI,P/U L200,PUL200,2010,2015,,, 
MITSUBISHI,P/U L200,PUL200,2015,,,, 
MITSUBISHI,P/U L200,PUL200,2019,,,, 
MITSUBISHI,P/U L200,PUL200,1979,1982,,, 
MITSUBISHI,P/U L200,PUL200,1983,1986,,, 
MITSUBISHI,P/U L200,PUL200,1987,1992,,, 
MITSUBISHI,P/U L200,PUL200,1993,1996,,, 
MITSUBISHI,P/U L200,PUL200,1997,1999,,, 
MITSUBISHI,P/U L200,PUL200,1999,2001,,, 
MITSUBISHI,PAJERO,PAJERO,2001,2007,,, 
MITSUBISHI,PAJERO,PAJERO,2007,2012,,, 
MITSUBISHI,PAJERO,PAJERO,2012,,,, 
MITSUBISHI,PAJERO,PAJERO,1983,1992,,, 
MITSUBISHI,PAJERO,PAJERO,1992,1995,,, 
MITSUBISHI,PAJERO,PAJERO,1996,2001,,, 
MITSUBISHI,PAJERO PININ,PAJEROPININ,1999,2007,,, 
MITSUBISHI,PAJERO SPORT,PAJEROSPORT,2000,2006,,, 
MITSUBISHI,SPACE STAR,SPACESTAR,2013,2016,,, 
MITSUBISHI,SPACE STAR,SPACESTAR,2016,,,, 
MITSUBISHI,SPACE STAR,SPACESTAR,2020,,,, 
MITSUBISHI,SPACE STAR,SPACESTAR,1998,2005,,, 
