manufacturer,model,search_code,start_year,end_year,variant,code,image_path
NISSAN,100 NX,100NX,1991,1995,,, 
NISSAN,120Y,120Y,1974,1978,B210,, 
NISSAN,200 SX,200SX,1989,1995,,, 
NISSAN,350Z,350Z,2003,2008,,, 
NISSAN,ALMERA,ALMERA,1996,1998,N15 H/B,, 
NISSAN,ALMERA,ALMERA,1998,2000,N15 H/B,, 
NISSAN,ALMERA,ALMERA,1996,1998,N15 L/B,, 
NISSAN,ALMERA,ALMERA,1998,2000,N15 L/B,, 
NISSAN,ALMERA,ALMERA,1996,1998,N15 SDN,, 
NISSAN,ALMERA,ALMERA,1998,2000,N15 SDN,, 
NISSAN,ALMERA,ALMERA,2000,2006,N16 H/B,, 
NISSAN,ALMERA,ALMERA,2000,2006,N16 L/B,, 
NISSAN,ALMERA,ALMERA,2000,2006,N16 SDN,, 
NISSAN,ALMERA TINO,ALMERATINO,2000,2005,,, 
NISSAN,ARIYA,ARIYA,2022,,,, 
NISSAN,BLUEBIRD,BLUEBIRD,1984,1985,U11,, 
NISSAN,CABSTAR,CABSTAR,2000,2007,,, 
NISSAN,CABSTAR,CABSTAR,2007,,,, 
NISSAN,CHERRY,CHERRY,1979,1983,N10,, 
NISSAN,CUBE,CUBE,2009,2018,,, 
NISSAN,INTERSTAR,INTERSTAR,,2009,,, 
NISSAN,INTERSTAR,INTERSTAR,2009,,,, 
NISSAN,JEEP TERRANO II,JEEPTERRANO2,1993,2007,R20,, 
NISSAN,JUKE,JUKE,2019,,F16,, 
NISSAN,JUKE,JUKE,2010,2015,,, 
NISSAN,JUKE,JUKE,2015,,,, 
NISSAN,KUBISTAR,KUBISTAR,2003,2009,,, 
NISSAN,LEAF,LEAF,2011,2017,,, 
NISSAN,LEAF,LEAF,2018,,,, 
NISSAN,MICRA,MICRA,1982,1988,K10,, 
NISSAN,MICRA,MICRA,1988,1992,K10,, 
NISSAN,MICRA,MICRA,2000,2002,K11,, 
NISSAN,MICRA,MICRA,1992,1998,K11,, 
NISSAN,MICRA,MICRA,1998,2000,K11,, 
NISSAN,MICRA,MICRA,2002,2010,K12,, 
NISSAN,MICRA,MICRA,2010,2013,K13,, 
NISSAN,MICRA,MICRA,2013,2017,K13,, 
NISSAN,MICRA,MICRA,2017,,K14,, 
NISSAN,MURANO,MURANO,2003,2014,,, 
NISSAN,NOTE,NOTE,2006,2013,,, 
NISSAN,NOTE,NOTE,2013,,,, 
NISSAN,NV 250,NV250,2019,,,, 
NISSAN,NV 400,NV400,2011,,,, 
NISSAN,P/U,PU,1972,1978,620,, 
NISSAN,P/U,PU,1979,1983,720,, 
NISSAN,P/U,PU,1984,1985,720,, 
NISSAN,P/U,PU,,,B110/120 1200,, 
NISSAN,P/U,PU,1992,1997,D21 2WD-4WD,, 
NISSAN,P/U,PU,1986,1992,D21 DOUBLE CAB,, 
NISSAN,P/U,PU,1986,1992,D21 SINGLE CAB,, 
NISSAN,P/U,PU,1998,2001,D22 2WD-4WD,, 
NISSAN,P/U NAVARA,PUNAVARA,2001,2010,D22 2WD-4WD,, 
NISSAN,P/U NAVARA,PUNAVARA,2005,2010,D40 2WD-4WD,, 
NISSAN,P/U NAVARA,PUNAVARA,2010,2015,D40 2WD-4WD,, 
NISSAN,P/U NAVARA,PUNAVARA,2015,,NP300 2WD-4WD,, 
NISSAN,PATHFINDER,PATHFINDER,2006,2014,R51,, 
NISSAN,PATHFINDER,PATHFINDER,2012,,R52,, 
NISSAN,PATROL,PATROL,2014,,,, 
NISSAN,PATROL GR,PATROLGR,1986,1998,Y60,, 
NISSAN,PIXO,PIXO,2009,,,, 
NISSAN,PRIMASTAR,PRIMASTAR,2002,2006,,, 
NISSAN,PRIMASTAR,PRIMASTAR,2006,2016,,, 
NISSAN,PRIMERA,PRIMERA,,1996,P10 SDN-L/B,, 
NISSAN,PRIMERA,PRIMERA,1996,1999,P11,, 
NISSAN,PRIMERA,PRIMERA,1999,2001,P11,, 
NISSAN,PRIMERA,PRIMERA,2002,2008,P12,, 
NISSAN,PULSAR,PULSAR,2015,,,, 
NISSAN,QASHQAI,QASHQAI,2007,2010,,, 
NISSAN,QASHQAI,QASHQAI,2010,2013,,, 
NISSAN,QASHQAI,QASHQAI,2013,2017,,, 
NISSAN,QASHQAI,QASHQAI,2017,,,, 
NISSAN,QASHQAI,QASHQAI,2021,,,, 
NISSAN,QASHQAI,QASHQAI,2024,,,, 
NISSAN,SERENA,SERENA,1992,2001,C23,, 
NISSAN,SUNNY,SUNNY,1978,1979,B310,, 
NISSAN,SUNNY,SUNNY,1980,1982,B310,, 
NISSAN,SUNNY,SUNNY,1986,1989,N13,, 
NISSAN,SUNNY,SUNNY,1990,1991,N13,, 
NISSAN,SUNNY,SUNNY,1992,1995,N14 L/B,, 
NISSAN,SUNNY,SUNNY,1992,1995,N14 SDN-H/B,, 
NISSAN,TIIDA,TIIDA,2007,,,, 
NISSAN,TOWNSTAR,TOWNSTAR,2021,,,, 
NISSAN,URVAN,URVAN,1980,1986,E23,, 
NISSAN,URVAN,URVAN,1989,1997,E24,, 
NISSAN,VANETTE,VANETTE,1980,1987,C20/120,, 
NISSAN,VANETTE,VANETTE,1988,1990,C22,, 
NISSAN,VANETTE CARGO,VANETTECARGO,1995,2001,C23,, 
NISSAN,VANETTE NV 200,VANETTONV200,2011,,,, 
NISSAN,VANETTE NV 300,VANETTONV300,2016,,,, 
NISSAN,VANETTE SPAIN,VANETTESPAIN,1986,1995,C220,, 
NISSAN,X-TRAIL,XTRAIL,2001,2014,,, 
NISSAN,X-TRAIL,XTRAIL,2014,2017,,, 
NISSAN,X-TRAIL,XTRAIL,2017,,,, 
NISSAN,X-TRAIL,XTRAIL,2021,,,, 
