manufacturer,model,search_code,start_year,end_year,variant,code,image_path
OPEL,ADAM,ADAM,2012,,,, 
OPEL,AGILA,AGILA,2008,2014,,, 
OPEL,AGILA,AGILA,1999,2008,,, 
OPEL,AMPERA,AMPERA,2011,,,, 
OPEL,ANTARA,ANTARA,2006,2015,,, 
OPEL,ASCONA B,ASCONAB,1975,1980,,, 
OPEL,ASCONA C,ASCONAC,1981,1988,,, 
OPEL,ASTRA F,ASTRAF,1991,1994,,, 
OPEL,ASTRA F,ASTRAF,1995,1998,,, 
OPEL,ASTRA G,ASTRAG,1998,2004,,, 
OPEL,ASTRA H,ASTRAH,2004,2010,,, 
OPEL,ASTRA J,ASTRAJ,2011,,3D/GTC,, 
OPEL,ASTRA J,ASTRAJ,2013,,4D,, 
OPEL,ASTRA J,ASTRAJ,2010,2013,5D/S.W.,, 
OPEL,ASTRA J,ASTRAJ,2013,2016,5D/S.W.,, 
OPEL,ASTRA K,ASTRAK,2016,,5D/S.W.,, 
OPEL,ASTRA K,ASTRAK,2019,,5D/S.W.,, 
OPEL,ASTRA L,ASTRAL,2021,,,, 
OPEL,CALIBRA,CALIBRA,1989,1995,,, 
OPEL,CASCADA,CASCADA,2013,,,, 
OPEL,COMBO,COMBO,2012,,COMBI/CARGO,, 
OPEL,COMBO,COMBO,2000,2012,,, 
OPEL,COMBO,COMBO,2018,,,, 
OPEL,COMBO,COMBO,1985,1988,,, 
OPEL,COMBO,COMBO,1988,1990,,, 
OPEL,COMBO,COMBO,1993,2000,,, 
OPEL,CORSA A,CORSAA,1985,1990,,, 
OPEL,CORSA A,CORSAA,1991,1993,,, 
OPEL,CORSA B,CORSAB,1993,1995,,, 
OPEL,CORSA B,CORSAB,1996,1997,,, 
OPEL,CORSA B,CORSAB,1997,2000,,, 
OPEL,CORSA C,CORSAC,2000,2006,,, 
OPEL,CORSA D,CORSAD,2006,2015,,, 
OPEL,CORSA E,CORSAE,2015,,,, 
OPEL,CORSA F,CORSAF,2019,,,, 
OPEL,CROSSLAND,CROSSLAND,2020,,,, 
OPEL,CROSSLAND X,CROSSLANDX,2017,,,, 
OPEL,FRONTERA,FRONTERA,,,, 
OPEL,GRANDLAND X,GRANDLANDX,2017,,,, 
OPEL,INSIGNIA,INSIGNIA,2008,2013,,, 
OPEL,INSIGNIA,INSIGNIA,2013,2017,,, 
OPEL,INSIGNIA B Sports Tourer,INSIGNIABST,2020,,Z18,, 
OPEL,INSIGNIA GRAND SPORT,INSIGNIAGS,2017,,,, 
OPEL,KADETT C,KADETTC,1974,1980,,, 
OPEL,KADETT D,KADETTD,1980,1985,,, 
OPEL,KADETT E,KADETTE,1985,1988,,, 
OPEL,KADETT E,KADETTE,1988,1990,,, 
OPEL,KARL,KARL,2015,,,, 
OPEL,MERIVA,MERIVA,2003,2010,,, 
OPEL,MERIVA,MERIVA,2010,2014,,, 
OPEL,MERIVA,MERIVA,2014,,,, 
OPEL,MOKKA,MOKKA,2013,2016,,, 
OPEL,MOKKA,MOKKA,2020,,,, 
OPEL,MOKKA X,MOKKAX,2016,,,, 
OPEL,MOVANO,MOVANO,2009,,,, 
OPEL,MOVANO,MOVANO,2019,,,, 
OPEL,MOVANO,MOVANO,2021,,,, 
OPEL,MOVANO,MOVANO,1998,2009,,, 
OPEL,OMEGA A,OMEGAA,1988,1991,,, 
OPEL,OMEGA A,OMEGAA,1991,1994,,, 
OPEL,OMEGA B,OMEGAB,1994,2003,,, 
OPEL,P/U CAMPO,PUCAMPO,1987,1995,,, 
OPEL,P/U CAMPO,PUCAMPO,1995,2002,,, 
OPEL,RECORD E,RECORDE,1978,1986,,, 
OPEL,SIGNUM,SIGNUM,2003,2006,,, 
OPEL,SIGNUM,SIGNUM,2006,2009,,, 
OPEL,TIGRA,TIGRA,1995,2004,,, 
OPEL,TIGRA CABRIO TWINTOP,TIGRACABRIO,2004,2009,,, 
OPEL,VECTRA A,VECTRAB,1989,1992,,, 
OPEL,VECTRA A,VECTRAB,1992,1995,,, 
OPEL,VECTRA B,VECTRAB,1996,1998,,, 
OPEL,VECTRA B,VECTRAB,1999,2002,,, 
OPEL,VECTRA C,VECTRAC,2002,2005,,, 
OPEL,VECTRA C,VECTRAC,2005,2008,,, 
OPEL,VIVARO,VIVARO,2002,2006,,, 
OPEL,VIVARO,VIVARO,2006,2014,,, 
OPEL,VIVARO,VIVARO,2014,,,, 
OPEL,VIVARO,VIVARO,2019,,,, 
OPEL,ZAFIRA,ZAFIRA,2005,2012,,, 
OPEL,ZAFIRA,ZAFIRA,1999,2005,,, 
OPEL,ZAFIRA C,ZAFIRAC,2016,,,, 
OPEL,ZAFIRA LIFE,ZAFIRALIFE,2019,,,, 
OPEL,ZAFIRA TOURER,ZAFIRATOURER,2011,2016,,, 
