manufacturer,model,search_code,start_year,end_year,variant,code,image_path
PEUGEOT,1007,1007,2005,2009,,, 
PEUGEOT,106,106,1992,1995,,, 
PEUGEOT,106,106,1996,2003,,, 
PEUGEOT,107,107,2006,2012,,, 
PEUGEOT,107,107,2012,2014,,, 
PEUGEOT,108,108,2014,,,, 
PEUGEOT,2008,2008,2013,2016,,, 
PEUGEOT,2008,2008,2016,,,, 
PEUGEOT,2008,2008,2019,,,, 
PEUGEOT,205,205,1983,1992,,, 
PEUGEOT,206,206,1998,2009,,, 
PEUGEOT,206+ (PLUS),206PLUS,2009,2013,,, 
PEUGEOT,207,207,2006,2014,,, 
PEUGEOT,208,208,2012,2015,,, 
PEUGEOT,208,208,2015,,,, 
PEUGEOT,208,208,2019,,,, 
PEUGEOT,3008,3008,2009,2013,,, 
PEUGEOT,3008,3008,2013,2016,,, 
PEUGEOT,3008,3008,2016,,,, 
PEUGEOT,3008,3008,2021,,,, 
PEUGEOT,3008,3008,2024,,,, 
PEUGEOT,301,301,2012,2017,,, 
PEUGEOT,301,301,2017,,,, 
PEUGEOT,305,305,1978,1983,,, 
PEUGEOT,305,305,1983,1985,,, 
PEUGEOT,306,306,1993,1996,,, 
PEUGEOT,306,306,1996,1999,,, 
PEUGEOT,306,306,1999,2000,,, 
PEUGEOT,307,307,2001,2005,,, 
PEUGEOT,307,307,2005,2007,,, 
PEUGEOT,308,308,2008,2013,,, 
PEUGEOT,308,308,2013,2017,,, 
PEUGEOT,308,308,2017,,,, 
PEUGEOT,308,308,2021,,,, 
PEUGEOT,309,309,1986,1993,,, 
PEUGEOT,4007,4007,2008,2012,,, 
PEUGEOT,4008,4008,2012,2017,,, 
PEUGEOT,405,405,1987,1993,,, 
PEUGEOT,405,405,1993,1995,,, 
PEUGEOT,406,406,1996,2005,COUPE,, 
PEUGEOT,406,406,1996,2005,SDN,, 
PEUGEOT,407,407,2004,2010,,, 
PEUGEOT,408,408,2022,,,, 
PEUGEOT,5008,5008,2010,2013,,, 
PEUGEOT,5008,5008,2013,2016,,, 
PEUGEOT,5008,5008,2016,,,, 
PEUGEOT,5008,5008,2020,,,, 
PEUGEOT,508,508,2011,2015,,, 
PEUGEOT,508,508,2015,,,, 
PEUGEOT,508,508,2018,,,, 
PEUGEOT,607,607,2000,2007,,, 
PEUGEOT,806,806,1994,2002,,, 
PEUGEOT,807,807,2002,2014,,, 
PEUGEOT,BIPPER,BIPPER,2008,,,, 
PEUGEOT,BOXER,BOXER,2002,2006,,, 
PEUGEOT,BOXER,BOXER,2006,2014,,, 
PEUGEOT,BOXER,BOXER,2014,,,, 
PEUGEOT,BOXER,BOXER,1994,2002,,, 
PEUGEOT,e BOXER,EBOXER,2020,,,, 
PEUGEOT,EXPERT,EXPERT,2004,2007,,, 
PEUGEOT,EXPERT,EXPERT,2007,2016,,, 
PEUGEOT,EXPERT,EXPERT,1995,2003,,, 
PEUGEOT,EXPERT/TRAVELLER,EXPERTTRAVELLER,2016,,,, 
PEUGEOT,PARTNER,PARTNER,2002,2008,,, 
PEUGEOT,PARTNER,PARTNER,2008,2015,,, 
PEUGEOT,PARTNER,PARTNER,2015,,,, 
PEUGEOT,PARTNER,PARTNER,2019,,,, 
PEUGEOT,PARTNER,PARTNER,1996,2002,,, 
PEUGEOT,RCZ,RCZ,2011,,,, 
PEUGEOT,RIFTER,RIFTER,2019,,,, 
