manufacturer,model,search_code,start_year,end_year,variant,code,image_path
PORSCHE,911,911,2011,2016,991,, 
PORSCHE,911,911,2016,2019,991,, 
PORSCHE,911,911,2019,,992,, 
PORSCHE,911,911,2000,2005,996,, 
PORSCHE,BOXSTER,BOXSTER,2012,2016,981,, 
PORSCHE,BOXSTER,BOXSTER,2016,,982,, 
PORSCHE,BOXSTER,BOXSTER,1996,2004,986,, 
PORSCHE,BOXSTER,BOXSTER,2004,2012,987,, 
PORSCHE,CARRERA 911,CARRERA911,2005,2010,997,, 
PORSCHE,CAYENNE,CAYENNE,2018,,9Y0/9YA,, 
PORSCHE,CAYENNE,CAYENNE,2023,,9Y0/9YA,, 
PORSCHE,CAYENNE,CAYENNE,2003,2010,,, 
PORSCHE,CAYENNE,CAYENNE,2010,2015,,, 
PORSCHE,CAYENNE,CAYENNE,2015,,,, 
PORSCHE,CAYENNE COUPE,CAYENNECOUPE,2023,,9Y3/9YB,, 
PORSCHE,CAYMAN,CAYMAN,2013,2016,981C,, 
PORSCHE,CAYMAN,CAYMAN,2016,,982C,, 
PORSCHE,CAYMAN,CAYMAN,2005,2010,987C,, 
PORSCHE,MACAN,MACAN,2014,,,, 
PORSCHE,MACAN,MACAN,2018,,,, 
PORSCHE,PANAMERA,PANAMERA,2009,2016,,, 
PORSCHE,PANAMERA,PANAMERA,2016,,,, 
PORSCHE,TAYCAN,TAYCAN,2019,,,, 
