manufacturer,model,search_code,start_year,end_year,variant,code,image_path
RENAULT,18,18,,,, 
RENAULT,19,19,1988,1992,,, 
RENAULT,19,19,1992,1995,,, 
RENAULT,21,21,1986,1989,,, 
RENAULT,21,21,1990,1994,,, 
RENAULT,4,4,1968,1992,,, 
RENAULT,5,5,1972,1985,,, 
RENAULT,5 E-TECH,5ETECH,2024,,,, 
RENAULT,5 SUPER,5SUPER,1985,1995,,, 
RENAULT,9,9,1981,1992,,, 
RENAULT,ARKANA,ARKANA,2020,,,, 
RENAULT,AUSTRAL,AUSTRAL,2022,,,, 
RENAULT,CAPTUR,CAPTUR,2013,2017,,, 
RENAULT,CAPTUR,CAPTUR,2017,,,, 
RENAULT,CAPTUR,CAPTUR,2020,,,, 
RENAULT,CLIO,CLIO,2001,2006,/CAMPUS 04-/THALIA 01-,, 
RENAULT,CLIO,CLIO,2006,2009,,, 
RENAULT,CLIO,CLIO,2009,2013,,, 
RENAULT,CLIO,CLIO,2013,2016,,, 
RENAULT,CLIO,CLIO,2016,,,, 
RENAULT,CLIO,CLIO,2019,,,, 
RENAULT,CLIO,CLIO,2023,,,, 
RENAULT,CLIO,CLIO,1990,1994,,, 
RENAULT,CLIO,CLIO,1994,1995,,, 
RENAULT,CLIO,CLIO,1996,1998,,, 
RENAULT,CLIO,CLIO,1998,2001,,, 
RENAULT,ESPACE,ESPACE,2003,2012,,, 
RENAULT,ESPACE,ESPACE,2015,,,, 
RENAULT,ESPACE,ESPACE,2023,,,, 
RENAULT,ESPACE,ESPACE,1992,2003,,, 
RENAULT,EXPRESS,EXPRESS,2021,,,, 
RENAULT,EXPRESS,EXPRESS,1988,1991,,, 
RENAULT,EXPRESS,EXPRESS,1992,1994,,, 
RENAULT,EXPRESS,EXPRESS,1995,1998,,, 
RENAULT,FLUENCE,FLUENCE,2010,2013,,, 
RENAULT,FLUENCE,FLUENCE,2013,,,, 
RENAULT,KADJAR,KADJAR,2016,,,, 
RENAULT,KADJAR,KADJAR,2019,,,, 
RENAULT,KANGOO,KANGOO,2003,2008,,, 
RENAULT,KANGOO,KANGOO,2008,2013,,, 
RENAULT,KANGOO,KANGOO,2013,,,, 
RENAULT,KANGOO,KANGOO,2021,,,, 
RENAULT,KANGOO,KANGOO,1998,2003,,, 
RENAULT,KOLEOS,KOLEOS,2008,2011,,, 
RENAULT,KOLEOS,KOLEOS,2011,2017,,, 
RENAULT,KOLEOS,KOLEOS,2017,,,, 
RENAULT,LAGUNA,LAGUNA,2000,2007,,, 
RENAULT,LAGUNA,LAGUNA,2007,2015,,, 
RENAULT,LAGUNA,LAGUNA,1994,1998,,, 
RENAULT,LAGUNA,LAGUNA,1998,2000,,, 
RENAULT,LAGUNA COUPE,LAGUNACOUPE,2008,2015,,, 
RENAULT,LATITUDE,LATITUDE,2010,,,, 
RENAULT,MASTER/MASCOTT,MASTERMASCOTT,2009,2015,,, 
RENAULT,MASTER/MASCOTT,MASTERMASCOTT,2015,,,, 
RENAULT,MASTER/MASCOTT,MASTERMASCOTT,2019,,,, 
