manufacturer,model,search_code,start_year,end_year,variant,code,image_path
SEAT,ALHABRA,ALHABRA,2010,,,, 
SEAT,ALHABRA,ALHABRA,1995,2010,,, 
SEAT,ALTEA,ALTEA,2004,2015,,, 
SEAT,ARONA,ARONA,2017,,,, 
SEAT,ARONA,ARONA,2022,,,, 
SEAT,AROSA,AROSA,2000,2004,,, 
SEAT,AROSA,AROSA,1997,2000,,, 
SEAT,ATECA,ATECA,2016,,,, 
SEAT,ATECA,ATECA,2020,,,, 
SEAT,CORDOBA,CORDOBA,2002,2008,,, 
SEAT,CORDOBA,CORDOBA,1993,1995,,, 
SEAT,CORDOBA,CORDOBA,1995,1997,,, 
SEAT,CORDOBA,CORDOBA,1997,1998,,, 
SEAT,CORDOBA,CORDOBA,1999,2002,,, 
SEAT,EXEO,EXEO,2009,2013,,, 
SEAT,GREDOS-MALAGA,GREDOSMALAGA,1986,1992,,, 
SEAT,IBIZA,IBIZA,2002,2008,,, 
SEAT,IBIZA,IBIZA,2008,2012,,, 
SEAT,IBIZA,IBIZA,2012,2015,,, 
SEAT,IBIZA,IBIZA,2015,2017,,, 
SEAT,IBIZA,IBIZA,2017,,,, 
SEAT,IBIZA,IBIZA,1986,1989,,, 
SEAT,IBIZA,IBIZA,1990,1992,,, 
SEAT,IBIZA,IBIZA,1993,1995,,, 
SEAT,IBIZA,IBIZA,1995,1997,,, 
SEAT,IBIZA,IBIZA,1997,1998,,, 
SEAT,IBIZA,IBIZA,1999,2002,,, 
SEAT,INCA,INCA,1993,2003,,, 
SEAT,LEON,LEON,2005,2013,,, 
SEAT,LEON,LEON,2013,2017,,, 
SEAT,LEON,LEON,2017,,,, 
SEAT,LEON,LEON,2020,,,, 
SEAT,LEON,LEON,1999,2005,,, 
SEAT,MARBELA,MARBELA,,,, 
SEAT,Mii,MII,2012,,,, 
SEAT,TARRACO,TARRACO,2018,,,, 
SEAT,TERRA,TERRA,,,, 
SEAT,TOLEDO,TOLEDO,2004,2012,,, 
SEAT,TOLEDO,TOLEDO,2012,,,, 
SEAT,TOLEDO,TOLEDO,1991,1995,,, 
SEAT,TOLEDO,TOLEDO,1995,1999,,, 
SEAT,TOLEDO,TOLEDO,1999,2004,,, 
