manufacturer,model,search_code,start_year,end_year,variant,code,image_path
SKODA,CITIGO,CITIGO,2012,2017,,, 
SKODA,CITIGO,CITIGO,2017,,,, 
SKODA,ELROQ,ELROQ,2024,,,, 
SKODA,ENYAQ,ENYAQ,2020,,,, 
SKODA,ENYAQ COUPE IV,ENYAQCOUPEIV,2022,,,, 
SKODA,FABIA,FABIA,2007,2010,,, 
SKODA,FABIA,FABIA,2010,2014,,, 
SKODA,FABIA,FABIA,2014,2018,,, 
SKODA,FABIA,FABIA,2018,,,, 
SKODA,FABIA,FABIA,2021,,,, 
SKODA,FABIA,FABIA,1999,2007,,, 
SKODA,FAVORIT,FAVORIT,1989,1994,,, 
SKODA,FAVORIT PICK-UP,FAVORITPICKUP,1989,1994,,, 
SKODA,FELICIA,FELICIA,1994,1998,,, 
SKODA,FELICIA,FELICIA,1998,2001,,, 
SKODA,FELICIA COMBI-S.W,FELICIACOMBISW,1994,2001,,, 
SKODA,FELICIA PICK-UP,FELICIAPICKUP,1994,2001,,, 
SKODA,KAMIQ,KAMIQ,2019,,,, 
SKODA,KAMIQ,KAMIQ,2024,,,, 
SKODA,KAROQ,KAROQ,2017,,,, 
SKODA,KAROQ,KAROQ,2021,,,, 
SKODA,KODIAQ,KODIAQ,2016,,,, 
SKODA,KODIAQ,KODIAQ,2021,,,, 
SKODA,OCTAVIA,OCTAVIA,1997,2010,4,, 
SKODA,OCTAVIA,OCTAVIA,2004,2008,5,, 
SKODA,OCTAVIA,OCTAVIA,2008,2013,5,, 
SKODA,OCTAVIA,OCTAVIA,2013,2017,6,, 
SKODA,OCTAVIA,OCTAVIA,2017,,6,, 
SKODA,OCTAVIA,OCTAVIA,2020,,7,, 
SKODA,RAPID,RAPID,2012,,,, 
SKODA,ROOMSTER,ROOMSTER,2010,2015,,, 
SKODA,ROOMSTER-PRAKTIK,ROOMSTERPRAKTIK,2006,2010,,, 
SKODA,SCALA,SCALA,2019,,,, 
SKODA,SUPERB,SUPERB,2001,2008,,, 
SKODA,SUPERB,SUPERB,2008,2013,,, 
SKODA,SUPERB,SUPERB,2013,2015,,, 
SKODA,SUPERB,SUPERB,2015,,,, 
SKODA,SUPERB,SUPERB,2019,,,, 
SKODA,SUPERB,SUPERB,2024,,,, 
SKODA,YETI,YETI,2009,2013,,, 
SKODA,YETI,YETI,2013,,,, 
