manufacturer,model,search_code,start_year,end_year,variant,code,image_path
SUBARU,BRZ,BRZ,2013,,,, 
SUBARU,CROSSTREK,CROSSTREK,2023,,,, 
SUBARU,FORESTER,FORESTER,2002,2008,,, 
SUBARU,FORESTER,FORESTER,2008,2012,,, 
SUBARU,FORESTER,FORESTER,2012,2015,,, 
SUBARU,FORESTER,FORESTER,2015,,,, 
SUBARU,FORESTER,FORESTER,2019,,,, 
SUBARU,FORESTER,FORESTER,2022,,,, 
SUBARU,FORESTER,FORESTER,1998,2002,,, 
SUBARU,IMPREZA,IMPREZA,2001,2008,,, 
SUBARU,IMPREZA,IMPREZA,2008,2014,,, 
SUBARU,IMPREZA,IMPREZA,2012,2017,,, 
SUBARU,IMPREZA,IMPREZA,2017,,,, 
SUBARU,IMPREZA,IMPREZA,2023,,,, 
SUBARU,IMPREZA,IMPREZA,1993,1997,,, 
SUBARU,IMPREZA,IMPREZA,1997,2001,,, 
SUBARU,JUSTY,JUSTY,2005,,,, 
SUBARU,JUSTY,JUSTY,1997,2005,,, 
SUBARU,JUSTY G3X,JUSTYG3X,,,, 
SUBARU,LEGACY,LEGACY,1992,1995,,, 
SUBARU,LEGACY/OUTBACK,LEGACYOUTBACK,2004,2010,,, 
SUBARU,LEGACY/OUTBACK,LEGACYOUTBACK,2010,2015,,, 
SUBARU,LEGACY/OUTBACK,LEGACYOUTBACK,2015,2018,,, 
SUBARU,LEGACY/OUTBACK,LEGACYOUTBACK,2018,,,, 
SUBARU,LEVORG,LEVORG,2015,,,, 
SUBARU,OUTBACK,OUTBACK,2021,,,, 
SUBARU,SOLTERRA,SOLTERRA,2022,,,, 
SUBARU,TRIBECA,TRIBECA,2008,2014,,, 
SUBARU,WR-X,WRX,2014,,,, 
SUBARU,XV,XV,2012,2017,,, 
SUBARU,XV,XV,2017,,,, 
SUBARU,XV,XV,2021,,,, 
