manufacturer,model,search_code,start_year,end_year,variant,code,image_path
SUZUKI,ALTO,ALTO,2003,2008,,, 
SUZUKI,ALTO,ALTO,2008,2014,,, 
SUZUKI,ALTO,ALTO,1987,1988,,, 
SUZUKI,ALTO,ALTO,1989,1991,,, 
SUZUKI,ALTO,ALTO,1995,2003,,, 
SUZUKI,ALTO,ALTO,,,SS40/80,, 
SUZUKI,ALTO-MARUTI,ALTOMARUTI,1985,2000,,, 
SUZUKI,BALENO,BALENO,2016,,,, 
SUZUKI,BALENO H/B,BALENOHB,1994,1998,,, 
SUZUKI,BALENO SDN,BALENOSDN,1994,1998,,, 
SUZUKI,BALENO SDN-H/B,BALENOSDNHB,1998,2002,,, 
SUZUKI,CARRY,CARRY,1985,1992,,, 
SUZUKI,CARRY,CARRY,1998,2013,,, 
SUZUKI,CELERIO,CELERIO,2014,,,, 
SUZUKI,GRAND VITARA,GRANDVITARA,2006,2015,,, 
SUZUKI,GRAND VITARA,GRANDVITARA,1999,2005,,, 
SUZUKI,IGNIS,IGNIS,2000,2008,,, 
SUZUKI,IGNIS,IGNIS,2016,,,, 
SUZUKI,IGNIS,IGNIS,2016,2020,,, 
SUZUKI,JEEP SAMURAI,JEEPSAMURAI,1979,1988,SJ410,, 
SUZUKI,JEEP,JEEP,1984,1990,SJ413,, 
SUZUKI,JEEP,JEEP,1990,2004,SJ413,, 
SUZUKI,JIMNY,JIMNY,2018,,,, 
SUZUKI,JIMNY,JIMNY,1998,2018,,, 
SUZUKI,LIANA,LIANA,2001,2007,,, 
SUZUKI,SPLASH,SPLASH,2007,2013,,, 
SUZUKI,SPLASH,SPLASH,2013,2014,,, 
SUZUKI,SWACE,SWACE,2020,,,, 
SUZUKI,SWIFT GTi,SWIFTGTI,1993,1996,,, 
SUZUKI,SWIFT H/B,SWIFTHB,2006,2011,,, 
SUZUKI,SWIFT H/B,SWIFTHB,2011,2014,,, 
SUZUKI,SWIFT H/B,SWIFTHB,2014,2017,,, 
SUZUKI,SWIFT H/B,SWIFTHB,2017,,,, 
SUZUKI,SWIFT H/B,SWIFTHB,2024,,,, 
SUZUKI,SWIFT H/B,SWIFTHB,1990,1992,,, 
SUZUKI,SWIFT H/B,SWIFTHB,1993,1996,,, 
SUZUKI,SWIFT H/B,SWIFTHB,1996,2005,,, 
SUZUKI,SWIFT SDN,SWIFTSDN,1990,1992,,, 
SUZUKI,SWIFT SDN,SWIFTSDN,1993,1995,,, 
SUZUKI,SWIFT SDN,SWIFTSDN,1996,2005,,, 
SUZUKI,SX4,SX4,2007,2013,,, 
SUZUKI,SX4 S-CROSS,SX4SCROSS,2013,2016,,, 
SUZUKI,SX4 S-CROSS,SX4SCROSS,2016,,,, 
SUZUKI,SX4 S-CROSS,SX4SCROSS,2022,,,, 
SUZUKI,VITARA,VITARA,2015,,,, 
SUZUKI,VITARA,VITARA,2019,,,, 
SUZUKI,VITARA,VITARA,1989,1998,2D,, 
SUZUKI,VITARA,VITARA,1992,1998,4D,, 
SUZUKI,WAGON R,WAGONR,1997,1999,,, 
SUZUKI,WAGON R,WAGONR,1999,2006,,, 
SUZUKI,X90,X90,1997,2000,,, 
