manufacturer,model,search_code,start_year,end_year,variant,code,image_path
TOYOTA,LAND CRUISER PRADO 250,LANDCRUISERPRADO250,2024,,J25,, 
TOYOTA,4RUNNER,4RUNNER,1999,2002,EXPORT TYPE,, 
TOYOTA,AURIS,AURIS,2006,2010,,, 
TOYOTA,AURIS,AURIS,2010,2012,,, 
TOYOTA,AURIS,AURIS,2012,2015,,, 
TOYOTA,AURIS,AURIS,2015,2019,,, 
TOYOTA,AVENSIS,AVENSIS,1997,2003,T22,, 
TOYOTA,AVENSIS,AVENSIS,2003,2008,T25,, 
TOYOTA,AVENSIS,AVENSIS,2008,2015,T27,, 
TOYOTA,AVENSIS,AVENSIS,2015,,T27,, 
TOYOTA,AVENSIS,AVENSIS,2012,2015,EXPORT TYPE,, 
TOYOTA,AYGO,AYGO,2006,2012,,, 
TOYOTA,AYGO,AYGO,2012,2014,,, 
TOYOTA,AYGO,AYGO,2014,,,, 
TOYOTA,AYGO,AYGO,2018,,,, 
TOYOTA,AYGO X,AYGOX,2022,,,, 
TOYOTA,bZ4X,BZ4X,2023,,,, 
TOYOTA,C-HR,CHR,2016,,,, 
TOYOTA,C-HR,CHR,2019,,,, 
TOYOTA,C-HR,CHR,2023,,,, 
TOYOTA,CARINA E/CORONA,CARINAECORONA,1991,1995,,, 
TOYOTA,CARINA E/CORONA SDN-L/B,CARINAECORONA,1996,2001,,, 
TOYOTA,CARINA II,CARIRAII,1989,1991,AT171,, 
TOYOTA,CELICA,CELICA,1995,2001,AT200,, 
TOYOTA,CELICA,CELICA,1991,1995,ST180,, 
TOYOTA,CELICA,CELICA,2001,2006,,, 
TOYOTA,COROLLA,COROLLA,1983,1985,AE 80,, 
TOYOTA,COROLLA,COROLLA,1992,1996,E 10 H/B 3/5D,, 
TOYOTA,COROLLA,COROLLA,1992,1996,E 10 L/B 5D,, 
TOYOTA,COROLLA,COROLLA,1992,1996,E 10 SDN-S.W.,, 
TOYOTA,COROLLA,COROLLA,2000,2002,E 11,, 
