manufacturer,model,search_code,start_year,end_year,variant,code,image_path
VOLVO,440/460,440460,1989,1996,,, 
VOLVO,740/760,740760,1984,1989,,, 
VOLVO,740/760,740760,1990,1992,,, 
VOLVO,850,850,1992,1994,,, 
VOLVO,940/960,940960,1990,1994,,, 
VOLVO,960,960,1995,1997,,, 
VOLVO,C30,C30,2007,2010,,, 
VOLVO,C30,C30,2010,,,, 
VOLVO,C40,C40,2021,,,, 
VOLVO,C70,C70,2006,2010,,, 
VOLVO,C70,C70,2010,,,, 
VOLVO,S40,S40,2000,2003,,, 
VOLVO,S40,S40,2003,2007,,, 
VOLVO,S40,S40,2007,2012,,, 
VOLVO,S40,S40,1995,2000,,, 
VOLVO,S60,S60,2000,2010,,, 
VOLVO,S60,S60,2018,,,, 
VOLVO,S60/V60,S60V60,2010,2013,,, 
VOLVO,S60/V60,S60V60,2013,2016,,, 
VOLVO,S60/V60,S60V60,2016,2018,,, 
VOLVO,S70/V70,S70V70,1997,2000,,, 
VOLVO,S80,S80,2006,2013,,, 
VOLVO,S80,S80,2013,,,, 
VOLVO,S80,S80,1999,2006,,, 
VOLVO,S90,S90,2016,,,, 
VOLVO,S90,S90,2021,,,, 
VOLVO,V40,V40,2012,,,, 
VOLVO,V50,V50,2004,2007,,, 
VOLVO,V50,V50,2007,2012,,, 
VOLVO,V60/V60 CROSS COUNTRY,V60CROSSCOUNTRY,2018,,,, 
VOLVO,V70,V70,2000,2007,,, 
VOLVO,V70,V70,2007,2013,,, 
VOLVO,V70,V70,2013,,,, 
VOLVO,V90,V90,2016,,,, 
VOLVO,V90,V90,2021,,,, 
VOLVO,XC40,XC40,2017,,,, 
VOLVO,XC40,XC40,2023,,,, 
VOLVO,XC60,XC60,2008,2013,,, 
VOLVO,XC60,XC60,2013,2017,,, 
VOLVO,XC60,XC60,2017,,,, 
VOLVO,XC70,XC70,2000,2007,,, 
VOLVO,XC70,XC70,2007,2013,,, 
VOLVO,XC70,XC70,2013,,,, 
VOLVO,XC90,XC90,2003,2014,,, 
VOLVO,XC90,XC90,2014,,,, 
VOLVO,XC90,XC90,2020,,,, 
