manufacturer,model,search_code,start_year,end_year,variant,code,image_path
VW,ARTEON,ARTEON,2017,,,, 
VW,ARTEON,ARTEON,2020,,,, 
VW,BEETLE,BEETLE,,,1200-1300,, 
VW,BEETLE,BEETLE,,,1302/1303,, 
VW,BORA,BORA,1998,2005,,, 
VW,BUS,BUS,1978,,,, 
VW,CADDY,CADDY,2004,2010,,, 
VW,CADDY,CADDY,2010,2015,,, 
VW,CADDY,CADDY,2015,,,, 
VW,CADDY,CADDY,2020,,,, 
VW,CADDY,CADDY,1979,1995,,, 
VW,CADDY PICK-UP,CADDYPICKUP,1996,2004,,, 
VW,CADDY VAN,CADDYVAN,1996,2004,,, 
VW,CARAVELLE,CARAVELLE,1997,2003,,, 
VW,CC,CC,2012,,,, 
VW,CRAFTER,CRAFTER,2006,2017,,, 
VW,CRAFTER,CRAFTER,2017,,,, 
VW,CROSS POLO,CROSSPOLO,2005,2009,,, 
VW,CROSS POLO,CROSSPOLO,2009,2017,,, 
VW,CROSS TOURAN,CROSSTOURAN,2007,2010,,, 
VW,CROSS TOURAN,CROSSTOURAN,2010,2015,,, 
VW,EOS,EOS,2006,2011,,, 
VW,EOS,EOS,2011,,,, 
VW,FOX,FOX,2005,2011,,, 
VW,GOLF I,GOLFI,1977,1983,,, 
VW,GOLF II,GOLFII,1984,1988,,, 
VW,GOLF II MANHATAN,GOLFIIMANHATAN,1988,1991,,, 
VW,GOLF III,GOLFIII,1992,1998,,, 
VW,GOLF IV,GOLFIV,1998,2004,,, 
VW,GOLF PLUS,GOLFPLUS,2004,2009,,, 
VW,GOLF PLUS,GOLFPLUS,2009,2014,,, 
VW,GOLF SPORTSVAN,GOLFSPORTSVAN,2014,2018,,, 
VW,GOLF SPORTSVAN,GOLFSPORTSVAN,2018,,,, 
VW,GOLF V,GOLFV,2004,2008,,, 
VW,GOLF V VARIANT,GOLFVVARIANT,2007,2009,,, 
VW,GOLF VI,GOLFVI,2008,2013,,, 
VW,GOLF VI VARIANT,GOLFVIVARIANT,2009,2014,,, 
VW,GOLF VII,GOLFVII,2013,2016,,, 
VW,GOLF VII,GOLFVII,2016,,,, 
VW,GOLF VII VARIANT,GOLFVIIVARIANT,2017,,BV5,, 
VW,GOLF VII VARIANT/ALLTRACK,GOLFVIIVARIANTALLTRACK,2013,2017,,, 
VW,GOLF VIII,GOLFVIII,2019,,,, 
VW,GOLF VIII,GOLFVIII,2024,,,, 
VW,GOLF VIII VARIANT,GOLFVIIIVARIANT,2020,,,, 
VW,GOLF VIII VARIANT,GOLFVIIIVARIANT,2024,,,, 
VW,ID.3,ID3,2020,,,, 
VW,ID.3 PA,ID3PA,2023,,,, 
VW,ID.4,ID4,2020,,,, 
VW,ID.5,ID5,2021,,,, 
VW,ID.7,ID7,2023,,,, 
VW,JETTA,JETTA,2005,2010,,, 
VW,JETTA,JETTA,2010,2014,,, 
VW,JETTA,JETTA,2014,,,, 
VW,JETTA,JETTA,1979,1983,,, 
VW,JETTA,JETTA,1984,1991,,, 
VW,LT,LT,1998,2006,,, 
VW,LUPO,LUPO,1998,2005,,, 
VW,NEW BEETLE,NEWBEETLE,2011,2016,,, 
VW,NEW BEETLE,NEWBEETLE,2016,,,, 
VW,NEW BEETLE,NEWBEETLE,1998,2011,,, 
VW,P/U AMAROK,PUAMAROK,2010,2016,,, 
VW,P/U AMAROK,PUAMAROK,2016,,,, 
VW,P/U AMAROK,PUAMAROK,2022,,T1A/T1B,, 
VW,P/U TARRO 2WD,PUTARRO2WD,1989,1997,,, 
VW,P/U TARRO 4WD,PUTARRO4WD,1989,1997,,, 
VW,PASSAT,PASSAT,2000,2005,,, 
VW,PASSAT,PASSAT,2005,2011,,, 
VW,PASSAT,PASSAT,2011,2015,,, 
VW,PASSAT,PASSAT,2015,,,, 
VW,PASSAT,PASSAT,2019,,,, 
VW,PASSAT,PASSAT,1980,1988,,, 
VW,PASSAT,PASSAT,1989,1993,,, 
VW,PASSAT,PASSAT,1993,1996,,, 
VW,PASSAT,PASSAT,1997,2000,,, 
VW,PASSAT CC,PASSATCC,2008,2012,,, 
VW,POLO - AUDI 50,POLOAUDI50,1982,1990,,, 
VW,POLO,POLO,2002,2005,,, 
VW,POLO,POLO,2005,2009,,, 
VW,POLO,POLO,2009,2014,,, 
VW,POLO,POLO,2014,2017,,, 
VW,POLO,POLO,2017,,,, 
VW,POLO,POLO,2021,,,, 
VW,POLO,POLO,1990,1994,,, 
VW,POLO,POLO,1994,1999,,, 
VW,POLO,POLO,1999,2001,,, 
VW,POLO CLASSIC,POLOCLASSIC,1995,2002,,, 
VW,SCIROCCO,SCIROCCO,2008,2014,,, 
VW,SCIROCCO,SCIROCCO,2014,,,, 
VW,SHARAN,SHARAN,2010,,,, 
VW,SHARAN,SHARAN,1995,2010,,, 
VW,T-CROSS,TCROSS,2019,,,, 
VW,T-CROSS,TCROSS,2023,,,, 
VW,T-ROC,TROC,2017,,,, 
VW,T-ROC,TROC,2022,,,, 
VW,TAIGO,TAIGO,2021,,,, 
VW,TIGUAN,TIGUAN,2007,2011,,, 
VW,TIGUAN,TIGUAN,2011,2016,,, 
VW,TIGUAN,TIGUAN,2016,,,, 
VW,TIGUAN,TIGUAN,2020,,,, 
VW,TIGUAN ALLSPACE,TIGUANALLSPACE,2021,,,, 
VW,TIGUAN ALLSPACE/XL,TIGUANALLSPACEXL,2017,,,, 
VW,TOUAREG,TOUAREG,2003,2010,,, 
VW,TOUAREG,TOUAREG,2010,2014,,, 
VW,TOUAREG,TOUAREG,2014,2018,,, 
VW,TOUAREG,TOUAREG,2018,,,, 
VW,TOURAN,TOURAN,2003,2006,,, 
VW,TOURAN,TOURAN,2007,2010,,, 
VW,TOURAN,TOURAN,2010,2015,,, 
VW,TOURAN,TOURAN,2015,,,, 
VW,TOURAN,TOURAN,2021,,,, 
VW,TRANSPORTER,TRANSPORTER,,,,T3,,
VW,TRANSPORTER,TRANSPORTER,1991,1996,T4,, 
VW,TRANSPORTER,TRANSPORTER,1997,2003,T4,, 
VW,TRANSPORTER,TRANSPORTER,2003,2010,T5,, 
VW,TRANSPORTER,TRANSPORTER,2010,2015,T5,, 
VW,TRANSPORTER,TRANSPORTER,2019,,T6.1,, 
VW,TRANSPORTER,TRANSPORTER,2015,,T6,, 
VW,TRANSPORTER,TRANSPORTER,2022,,T7,, 
VW,TRANSPORTER,TRANSPORTER,1980,,,, 
VW,UP,UP,2012,2016,,, 
VW,UP,UP,2016,,,, 
VW,UP,UP,2019,,,, 
VW,VENTO,VENTO,1992,1998,,, 
